time,code,class
33.682,center_middle,1
35.479,upper_middle,1
36.249,upper_wall,1
40.354,left_wall,1
42.386,lower_wall,1
45.218,left_wall,1
46.995,upper_wall,1
52.899,right_wall,1
58.774,upper_wall,1
61.339,upper_middle,1
62.611,center_middle,1
64.146,center_right,1
65.444,upper_right,1
66.212,right_wall,1
69.282,lower_right,1
70.05,lower_middle,1
70.818,lower_wall,1
74.389,left_wall,1
86.93,center_left,1
87.969,lower_middle,1
88.736,center_middle,1
94.609,center_right,1
96.676,center_middle,1
97.941,center_left,1
98.446,left_wall,1
106.915,lower_wall,1
121.236,lower_left,1
121.763,lower_middle,1
122.531,lower_right,1
124.067,lower_wall,1
130.21,left_wall,1
131.48,center_left,1
132.512,center_middle,1
133.779,center_right,1
134.306,upper_right,1
136.351,upper_wall,1
140.452,upper_right,1
140.955,right_wall,1
146.831,upper_right,1
147.361,upper_wall,1
153.763,left_wall,1
157.604,upper_wall,1
163.234,left_wall,1
164.002,upper_left,1
165.013,upper_middle,1
165.277,center_middle,1
167.315,lower_right,1
168.348,lower_wall,1
171.153,right_wall,1
174.224,upper_right,1
174.992,center_right,1
176.02,center_middle,1
176.787,lower_middle,1
178.326,lower_wall,1
183.964,left_wall,1
187.798,lower_wall,1
188.835,left_wall,1
190.867,upper_wall,1
199.577,right_wall,1
202.384,lower_wall,1
208.018,right_wall,1
210.851,lower_wall,1
220.066,left_wall,1
221.858,upper_wall,1
228.243,upper_middle,1
229.01,upper_left,1
229.539,left_wall,1
231.074,center_left,1
231.844,lower_left,1
232.848,lower_wall,1
239.778,lower_middle,1
240.546,center_middle,1
241.314,upper_left,1
244.891,upper_middle,1
245.393,upper_right,1
245.924,upper_wall,1
246.424,upper_right,1
247.192,right_wall,1
255.394,lower_wall,1
258.467,right_wall,1
259.235,lower_wall,1
264.845,lower_right,1
264.845,lower_right,1
266.146,right_wall,1
270.485,center_right,1
270.485,center_right,1
271.011,upper_right,1
272.02,upper_wall,1
279.026,upper_wall,1
279.793,upper_middle,1
281.058,center_middle,1
283.366,lower_right,1
287.467,center_middle,1
287.467,center_middle,1
287.972,center_left,1
289.004,left_wall,1
295.673,upper_wall,1
330.474,upper_left,1
331.749,left_wall,1
332.517,lower_wall,1
344.059,lower_right,1
344.59,center_right,1
345.358,upper_right,1
346.623,upper_wall,1
348.664,upper_right,1
349.695,upper_wall,1
352.767,upper_middle,1
353.801,upper_wall,1
354.83,upper_middle,1
356.601,center_middle,1
357.134,center_left,1
358.139,lower_left,1
359.173,lower_wall,1
372.485,lower_left,1
374.019,center_left,1
375.054,upper_left,1
375.822,left_wall,1
376.589,upper_wall,1
377.595,upper_left,1
378.625,center_left,1
381.192,lower_left,1
385.798,lower_middle,1
386.566,lower_right,1
387.836,center_right,1
388.367,right_wall,1
389.634,lower_right,1
398.075,center_right,1
401.149,upper_right,1
403.214,upper_middle,1
413.695,center_right,1
419.835,center_middle,1
420.603,upper_middle,1
421.632,upper_wall,1
564.412,upper_left,1
568.782,upper_middle,1
570.314,upper_wall,1
581.563,right_wall,1
589.261,upper_right,1
591.566,upper_wall,1
676.691,END,0
