time,code,class
28.71,center_middle,1
30.009,center_right,1
31.01,right_wall,1
31.781,upper_wall,1
35.88,upper_left,1
37.156,left_wall,1
39.589,lower_wall,1
41.892,right_wall,1
44.215,upper_wall,1
47.793,left_wall,1
49.831,lower_wall,1
53.433,right_wall,1
55.973,upper_wall,1
60.341,left_wall,1
62.643,lower_wall,1
66.478,lower_middle,1
67.75,center_right,1
68.779,right_wall,1
70.314,upper_wall,1
75.189,right_wall,1
79.024,lower_wall,1
83.628,left_wall,1
86.2,upper_left,1
86.438,upper_wall,1
89.767,right_wall,1
91.832,center_right,1
92.841,lower_right,1
94.136,lower_wall,1
98.743,lower_left,1
100.011,lower_middle,1
100.518,center_right,1
102.312,right_wall,1
103.848,upper_wall,1
108.457,left_wall,1
112.825,lower_wall,1
116.133,lower_right,1
117.431,center_right,1
118.196,center_middle,1
121.003,center_left,1
122.296,lower_left,1
122.804,lower_middle,1
123.569,lower_wall,1
125.872,lower_right,1
126.137,center_right,1
126.905,upper_right,1
128.172,upper_wall,1
132.279,upper_right,1
132.78,right_wall,1
135.083,upper_wall,1
139.953,upper_right,1
140.722,center_right,1
141.99,lower_right,1
142.255,lower_middle,1
143.021,lower_wall,1
144.824,left_wall,1
147.625,upper_wall,1
155.568,upper_left,1
156.337,upper_middle,1
156.838,upper_right,1
157.369,right_wall,1
160.938,lower_wall,1
162.743,lower_middle,1
163.767,lower_left,1
164.78,left_wall,1
166.84,lower_left,1
168.115,lower_middle,1
168.88,lower_right,1
169.65,lower_wall,1
173.222,lower_middle,1
173.753,lower_left,1
174.251,lower_wall,1
175.287,lower_right,1
176.29,center_right,1
177.061,right_wall,1
179.894,upper_wall,1
189.369,left_wall,1
191.907,upper_left,1
192.169,center_left,1
192.937,center_middle,1
195.243,center_right,1
196.277,center_middle,1
199.346,upper_middle,1
200.376,upper_wall,1
205.986,right_wall,1
207.523,upper_right,1
209.59,center_middle,1
210.856,lower_middle,1
211.89,lower_right,1
212.92,lower_wall,1
216.231,right_wall,1
218.534,center_right,1
218.796,center_middle,1
219.563,center_left,1
220.33,lower_left,1
221.865,left_wall,1
223.16,lower_wall,1
233.382,lower_right,1
234.15,right_wall,1
238.519,upper_wall,1
242.088,left_wall,1
243.889,center_left,1
245.689,lower_left,1
245.927,lower_middle,1
248.761,lower_right,1
249.529,center_right,1
250.533,upper_right,1
252.069,upper_wall,1
254.631,upper_middle,1
255.908,center_middle,1
258.473,lower_middle,1
263.341,lower_wall,1
265.643,lower_right,1
266.41,right_wall,1
269.481,lower_wall,1
274.855,right_wall,1
275.889,lower_right,1
277.424,center_middle,1
278.692,center_left,1
280.229,left_wall,1
280.759,lower_wall,1
282.533,lower_left,1
283.829,lower_middle,1
284.836,center_middle,1
288.165,center_right,1
290.232,upper_right,1
292.537,upper_middle,1
293.54,upper_wall,1
299.446,left_wall,1
302.25,center_left,1
303.544,lower_left,1
304.553,lower_wall,1
311.956,right_wall,1
313.758,upper_wall,1
317.859,upper_right,1
318.627,center_right,1
319.634,lower_right,1
322.468,lower_middle,1
325.538,center_left,1
326.306,upper_left,1
327.31,left_wall,1
328.847,upper_left,1
329.633,center_middle,1
331.408,lower_right,1
334.242,lower_middle,1
337.316,center_right,1
338.851,center_middle,1
342.16,upper_right,1
346.018,upper_wall,1
364.441,upper_left,1
366.243,upper_middle,1
367.511,upper_right,1
370.083,right_wall,1
371.618,upper_wall,1
375.19,right_wall,1
376.725,center_right,1
378.526,right_wall,1
379.292,lower_wall,1
382.628,left_wall,1
385.168,center_left,1
386.466,center_middle,1
389.266,center_right,1
392.607,right_wall,1
398.244,upper_wall,1
412.823,left_wall,1
414.358,center_left,1
415.395,lower_left,1
417.167,lower_wall,1
423.571,lower_middle,1
424.867,center_middle,1
425.635,upper_middle,1
427.409,upper_right,1
430.741,center_middle,1
431.011,center_right,1
434.578,lower_right,1
436.885,lower_wall,1
443.556,lower_middle,1
444.054,lower_right,1
445.328,center_right,1
445.859,center_middle,1
450.722,upper_middle,1
452.5,upper_wall,1
457.105,left_wall,1
464.015,center_left,1
465.551,upper_middle,1
466.848,upper_wall,1
511.893,right_wall,1
518.8,center_right,1
519.332,center_middle,1
520.597,lower_middle,1
522.64,lower_wall,1
529.31,left_wall,1
538.256,center_left,1
539.284,center_middle,1
540.578,center_right,1
543.39,upper_right,1
544.158,upper_middle,1
545.187,upper_wall,1
553.633,upper_middle,1
558.237,center_left,1
558.74,center_middle,1
560.275,lower_middle,1
563.345,lower_wall,1
563.608,lower_wall,1
567.951,right_wall,1
574.883,upper_wall,1
599.183,right_wall,1
599.713,right_wall,1
620.258,upper_right,1
621.795,center_right,1
625.106,lower_right,1
626.641,lower_middle,1
627.939,lower_wall,1
654.301,END,0
