time,code,class
6.784,center_middle,1
7.821,center_right,1
9.091,upper_right,1
9.856,upper_wall,1
13.194,upper_left,1
14.458,left_wall,1
16.765,lower_wall,1
19.331,lower_right,1
20.097,right_wall,1
22.139,upper_right,1
22.903,upper_wall,1
27.533,left_wall,1
29.069,center_left,1
29.577,lower_left,1
31.112,lower_middle,1
31.879,lower_wall,1
33.915,right_wall,1
35.451,center_right,1
36.75,upper_right,1
37.517,upper_wall,1
41.594,left_wall,1
43.917,lower_wall,1
51.328,right_wall,1
53.133,upper_right,1
54.138,upper_middle,1
54.668,upper_left,1
55.674,left_wall,1
59.534,lower_wall,1
67.213,right_wall,1
68.749,lower_right,1
69.246,lower_middle,1
70.284,lower_wall,1
71.553,lower_left,1
72.077,left_wall,1
74.122,left_wall,1
75.149,upper_wall,1
82.597,upper_left,1
84.395,center_left,1
85.432,lower_middle,1
86.199,lower_right,1
86.967,right_wall,1
89.528,lower_right,1
89.771,lower_wall,1
90.805,lower_middle,1
91.571,lower_left,1
92.6,center_left,1
93.107,upper_left,1
93.609,upper_wall,1
100.777,right_wall,1
102.583,lower_wall,1
112.291,left_wall,1
113.83,upper_left,1
114.597,upper_middle,1
116.093,center_right,1
117.131,right_wall,1
119.93,center_right,1
121.23,lower_right,1
122.235,lower_wall,1
125.07,left_wall,1
128.639,lower_wall,1
134.541,lower_left,1
135.817,lower_middle,1
137.083,lower_right,1
137.35,center_right,1
138.382,upper_right,1
138.885,right_wall,1
139.918,upper_wall,1
142.222,upper_right,1
142.459,upper_middle,1
143.757,center_middle,1
144.524,lower_middle,1
145.023,lower_right,1
145.794,lower_wall,1
148.861,right_wall,1
152.462,upper_right,1
153.23,center_right,1
153.464,right_wall,1
154.5,lower_wall,1
166.182,left_wall,1
167.717,lower_wall,1
175.653,lower_middle,1
177.455,lower_right,1
177.958,lower_wall,1
179.494,right_wall,1
181.561,upper_right,1
182.565,upper_wall,1
187.701,left_wall,1
189.496,lower_wall,1
192.808,left_wall,1
193.84,lower_left,1
195.373,center_middle,1
195.641,upper_middle,1
196.14,upper_wall,1
199.479,right_wall,1
204.324,center_right,1
204.852,upper_right,1
205.353,center_right,1
206.648,lower_right,1
208.688,center_right,1
209.19,center_middle,1
213.559,center_left,1
214.328,left_wall,1
215.592,upper_wall,1
224.303,upper_left,1
226.105,upper_middle,1
226.603,upper_right,1
227.376,right_wall,1
234.04,lower_wall,1
251.192,right_wall,1
255.27,lower_right,1
255.536,center_right,1
258.104,center_middle,1
258.341,upper_middle,1
259.369,upper_right,1
259.874,upper_wall,1
260.908,right_wall,1
262.176,right_wall,1
264.478,center_right,1
266.78,center_middle,1
268.579,lower_middle,1
269.08,lower_left,1
269.847,left_wall,1
271.382,upper_wall,1
272.916,left_wall,1
277.526,lower_wall,1
278.293,lower_left,1
279.061,lower_middle,1
279.587,center_right,1
280.355,right_wall,1
282.13,upper_wall,1
288.802,upper_left,1
289.807,center_left,1
290.337,center_middle,1
292.13,lower_middle,1
293.141,center_middle,1
295.203,center_right,1
295.971,lower_right,1
296.978,right_wall,1
297.746,lower_wall,1
306.72,lower_middle,1
307.488,lower_wall,1
322.834,left_wall,1
328.209,upper_wall,1
335.653,right_wall,1
338.22,lower_wall,1
350.263,right_wall,1
352.565,upper_right,1
355.128,upper_middle,1
356.664,upper_left,1
357.669,left_wall,1
358.706,upper_wall,1
360.24,left_wall,1
363.045,lower_left,1
363.811,lower_middle,1
364.344,lower_wall,1
365.111,lower_right,1
366.381,right_wall,1
367.652,center_right,1
370.986,center_middle,1
372.52,center_left,1
374.321,lower_left,1
375.087,lower_wall,1
386.601,lower_middle,1
388.136,center_middle,1
389.168,upper_right,1
390.201,upper_wall,1
398.904,right_wall,1
407.084,lower_right,1
407.59,lower_wall,1
418.36,lower_left,1
419.129,left_wall,1
420.135,upper_left,1
420.902,upper_wall,1
452.396,right_wall,1
460.842,center_right,1
461.368,right_wall,1
463.141,lower_wall,1
470.821,lower_middle,1
481.129,lower_left,1
482.162,left_wall,1
487.8,upper_wall,1
532.343,upper_right,1
534.382,right_wall,1
536.182,center_right,1
536.95,lower_right,1
537.976,lower_wall,1
540.28,left_wall,1
543.353,upper_wall,1
570.616,upper_middle,1
572.649,upper_right,1
574.455,center_right,1
576.228,lower_right,1
576.757,lower_wall,1
586.73,left_wall,1
593.74,center_left,1
593.997,upper_left,1
594.508,upper_wall,1
596.042,upper_middle,1
596.301,upper_right,1
598.345,right_wall,1
600.91,lower_wall,1
633.411,END,0
