time,code,class
32.246,center_middle,1
34.039,lower_left,1
34.808,lower_wall,1
36.343,left_wall,1
38.649,upper_left,1
39.152,upper_wall,1
42.219,upper_right,1
42.725,right_wall,1
44.791,lower_wall,1
46.323,lower_middle,1
46.827,lower_wall,1
49.656,left_wall,1
52.965,upper_wall,1
57.573,upper_middle,1
58.342,upper_right,1
58.872,upper_wall,1
62.444,right_wall,1
66.544,upper_wall,1
75.255,upper_left,1
76.259,left_wall,1
78.583,center_left,1
80.12,lower_left,1
80.362,lower_middle,1
81.129,lower_wall,1
84.464,right_wall,1
87.27,upper_wall,1
99.577,upper_right,1
100.343,right_wall,1
104.422,lower_wall,1
109.816,lower_left,1
110.324,left_wall,1
112.361,lower_left,1
113.127,center_left,1
113.657,center_middle,1
115.694,center_right,1
116.461,upper_right,1
117.228,right_wall,1
119.266,upper_right,1
119.767,upper_middle,1
120.271,upper_left,1
122.594,center_left,1
123.101,left_wall,1
130.008,upper_wall,1
130.775,left_wall,1
136.918,upper_left,1
138.719,upper_wall,1
154.065,upper_left,1
154.832,upper_middle,1
155.103,upper_right,1
156.131,right_wall,1
156.899,upper_wall,1
159.441,right_wall,1
164.047,lower_wall,1
171.747,right_wall,1
173.283,center_right,1
174.051,center_middle,1
174.553,lower_middle,1
175.825,lower_wall,1
183.522,lower_left,1
184.529,center_middle,1
188.132,center_right,1
190.436,center_middle,1
192.739,upper_left,1
193.506,upper_wall,1
209.122,right_wall,1
218.063,lower_right,1
218.331,lower_wall,1
227.808,lower_middle,1
230.111,center_right,1
230.371,center_middle,1
231.645,upper_middle,1
232.147,upper_right,1
232.675,upper_wall,1
242.914,left_wall,1
249.059,lower_wall,1
256.466,left_wall,1
263.139,lower_left,1
264.913,lower_middle,1
265.681,center_middle,1
273.378,center_left,1
274.146,upper_left,1
274.914,upper_wall,1
284.13,upper_right,1
284.368,upper_middle,1
286.163,center_middle,1
286.69,center_left,1
288.207,lower_left,1
289.763,left_wall,1
290.005,lower_wall,1
301.016,lower_left,1
301.519,lower_middle,1
302.546,center_middle,1
302.817,center_right,1
303.842,lower_right,1
305.119,right_wall,1
305.886,lower_wall,1
311.162,right_wall,1
317.831,upper_right,1
318.6,upper_wall,1
320.132,upper_middle,1
320.899,upper_right,1
321.402,center_right,1
321.934,right_wall,1
324.237,lower_right,1
325.772,lower_middle,1
326.269,center_middle,1
331.145,upper_middle,1
331.913,upper_left,1
333.778,upper_wall,1
344.021,upper_left,1
345.314,upper_middle,1
347.729,upper_wall,1
352.098,right_wall,1
353.871,upper_right,1
354.401,center_right,1
360.27,center_middle,1
366.179,center_left,1
378.456,upper_middle,1
382.032,upper_right,1
384.097,right_wall,1
386.133,center_right,1
387.932,lower_right,1
389.204,right_wall,1
389.731,lower_wall,1
399.444,right_wall,1
402.274,lower_wall,1
407.889,right_wall,1
409.956,center_right,1
411.491,upper_right,1
413.79,upper_middle,1
414.291,center_middle,1
418.399,center_left,1
418.899,lower_left,1
419.668,lower_wall,1
482.659,right_wall,1
483.928,lower_right,1
484.432,center_right,1
487.764,right_wall,1
490.337,upper_wall,1
496.476,right_wall,1
501.846,lower_wall,1
522.168,right_wall,1
539.557,lower_wall,1
573.619,right_wall,1
581.797,center_right,1
582.562,upper_right,1
585.399,upper_middle,1
586.423,upper_wall,1
599.209,left_wall,1
605.619,lower_wall,1
608.723,lower_left,1
610.787,center_left,1
611.792,upper_left,1
612.823,left_wall,1
615.125,upper_left,1
616.162,upper_wall,1
619.399,upper_middle,1
622.467,center_middle,1
626.808,center_right,1
631.178,lower_middle,1
637.052,lower_left,1
638.587,center_left,1
640.123,upper_left,1
641.421,upper_wall,1
647.56,upper_right,1
649.863,center_right,1
650.365,right_wall,1
651.662,lower_wall,1
654.199,lower_right,1
656.768,lower_middle,1
661.901,lower_right,1
662.669,lower_wall,1
684.298,END,0
