time,code,class
6.649,center_middle,1
8.953,center_left,1
10.222,lower_left,1
10.988,lower_middle,1
11.755,lower_right,1
13.027,right_wall,1
14.328,upper_right,1
15.863,upper_wall,1
16.868,upper_left,1
17.656,center_left,1
18.424,lower_left,1
19.192,lower_wall,1
22.003,right_wall,1
24.303,upper_wall,1
27.109,upper_left,1
28.675,center_left,1
29.44,left_wall,1
30.207,lower_left,1
31.742,lower_wall,1
33.547,right_wall,1
35.579,upper_wall,1
38.152,upper_left,1
40.718,upper_wall,1
42.491,left_wall,1
44.027,center_left,1
44.288,lower_left,1
44.795,lower_wall,1
47.098,right_wall,1
49.665,upper_wall,1
55.302,upper_left,1
55.802,center_left,1
56.835,center_middle,1
57.604,center_right,1
58.369,right_wall,1
60.671,lower_wall,1
64.011,left_wall,1
65.805,upper_wall,1
69.383,right_wall,1
73.486,upper_right,1
74.254,upper_middle,1
75.021,upper_left,1
76.287,left_wall,1
77.324,center_left,1
77.822,lower_left,1
78.349,lower_middle,1
78.86,lower_right,1
79.885,lower_wall,1
84.728,right_wall,1
89.601,upper_wall,1
92.41,upper_right,1
94.733,center_right,1
95.501,right_wall,1
96.269,lower_wall,1
100.348,lower_right,1
101.381,center_middle,1
101.879,center_left,1
102.651,upper_left,1
103.419,upper_wall,1
116.56,left_wall,1
120.163,upper_left,1
121.165,upper_middle,1
121.7,upper_right,1
122.969,upper_wall,1
124.003,right_wall,1
126.544,lower_wall,1
135.25,left_wall,1
138.32,lower_wall,1
141.154,lower_left,1
141.922,lower_middle,1
142.419,lower_right,1
143.959,right_wall,1
144.721,lower_wall,1
148.563,right_wall,1
150.363,center_right,1
152.664,center_middle,1
153.431,center_left,1
154.198,lower_left,1
154.965,left_wall,1
155.468,lower_wall,1
156.002,left_wall,1
158.305,upper_wall,1
180.058,upper_left,1
180.323,center_left,1
180.827,lower_left,1
181.858,lower_wall,1
185.932,left_wall,1
186.964,lower_left,1
188.001,lower_wall,1
204.385,lower_right,1
205.152,center_right,1
206.687,upper_right,1
207.187,upper_middle,1
207.715,upper_wall,1
219.232,left_wall,1
219.73,upper_left,1
220.768,left_wall,1
222.303,lower_wall,1
227.673,lower_left,1
228.708,left_wall,1
232.015,upper_wall,1
240.357,right_wall,1
243.688,lower_wall,1
248.056,right_wall,1
251.129,upper_right,1
251.631,upper_wall,1
263.144,upper_middle,1
264.177,upper_right,1
264.944,center_right,1
265.711,lower_right,1
266.479,lower_wall,1
270.05,lower_left,1
270.821,left_wall,1
271.853,center_left,1
272.886,upper_left,1
274.156,center_left,1
274.923,left_wall,1
275.956,center_left,1
276.724,lower_left,1
281.059,center_left,1
282.094,upper_middle,1
300.01,upper_wall,1
410.357,right_wall,1
428.009,upper_wall,1
440.82,upper_right,1
444.152,upper_wall,1
452.836,right_wall,1
467.181,center_right,1
468.215,lower_right,1
468.713,lower_middle,1
469.22,lower_wall,1
479.723,right_wall,1
504.312,upper_wall,1
628.473,END,0
