time,code,class
30.512,center_middle,1
35.087,upper_middle,1
35.685,upper_left,1
36.314,upper_wall,1
38.457,left_wall,1
39.687,center_left,1
40.293,lower_left,1
40.592,lower_wall,1
42.725,left_wall,1
45.193,lower_left,1
45.797,lower_wall,1
50.395,right_wall,1
53.136,upper_wall,1
57.744,left_wall,1
61.155,lower_wall,1
64.25,left_wall,1
66.384,upper_wall,1
86.906,left_wall,1
90.616,lower_wall,1
97.018,left_wall,1
98.574,lower_left,1
99.192,center_left,1
100.387,upper_left,1
100.986,upper_wall,1
104.655,left_wall,1
110.791,lower_wall,1
116.024,right_wall,1
118.202,upper_wall,1
124.326,upper_right,1
124.942,upper_wall,1
133.818,left_wall,1
135.047,upper_left,1
135.952,left_wall,1
137.189,lower_wall,1
142.854,right_wall,1
146.831,upper_wall,1
150.501,right_wall,1
152.934,upper_wall,1
161.85,upper_right,1
163.086,center_right,1
164.007,center_middle,1
165.578,lower_middle,1
166.181,lower_left,1
166.82,lower_wall,1
176.956,right_wall,1
181.264,center_right,1
181.896,upper_right,1
182.501,upper_wall,1
193.595,left_wall,1
197.883,upper_wall,1
202.19,upper_middle,1
203.387,center_middle,1
204.623,center_right,1
204.922,lower_right,1
205.521,lower_wall,1
284.432,right_wall,1
287.803,upper_wall,1
381.263,left_wall,1
383.599,lower_wall,1
400.291,right_wall,1
401.955,upper_wall,1
416.974,upper_left,1
417.976,center_left,1
419.964,lower_left,1
420.969,lower_wall,1
430.309,lower_right,1
431.313,lower_middle,1
431.98,lower_wall,1
464.015,lower_left,1
464.355,center_left,1
465.344,upper_left,1
465.677,upper_wall,1
475.69,right_wall,1
483.705,upper_wall,1
603.152,upper_left,1
605.156,center_middle,1
605.818,center_right,1
606.499,right_wall,1
609.491,lower_wall,1
621.839,left_wall,1
624.167,upper_wall,1
665.55,END,0
