time,code,class
10.089,center_middle,1
11.384,center_right,1
13.161,lower_right,1
14.456,lower_wall,1
16.998,right_wall,1
21.368,upper_wall,1
26.475,right_wall,1
30.072,center_right,1
31.079,right_wall,1
32.111,lower_wall,1
35.448,left_wall,1
40.553,lower_wall,1
55.67,right_wall,1
58.473,upper_wall,1
64.613,left_wall,1
68.983,lower_left,1
70.007,lower_wall,1
72.312,lower_middle,1
74.856,lower_left,1
75.621,left_wall,1
78.457,upper_wall,1
90.472,upper_left,1
92.271,center_left,1
93.542,left_wall,1
94.31,lower_wall,1
103.017,lower_right,1
103.284,right_wall,1
103.781,lower_wall,1
115.559,right_wall,1
117.624,upper_wall,1
123.501,left_wall,1
146.027,center_left,1
149.092,lower_left,1
149.86,lower_wall,1
274.286,lower_left,1
274.79,left_wall,1
279.159,upper_wall,1
290.668,upper_middle,1
291.942,upper_right,1
293.737,right_wall,1
294.505,center_right,1
296.807,right_wall,1
303.216,upper_wall,1
317.561,left_wall,1
325.236,lower_wall,1
332.409,lower_middle,1
335.212,center_right,1
338.789,center_middle,1
343.924,upper_middle,1
346.728,upper_left,1
353.13,left_wall,1
354.935,upper_left,1
355.703,upper_wall,1
364.142,right_wall,1
367.211,lower_right,1
369.78,lower_middle,1
371.817,lower_right,1
372.324,center_right,1
373.619,upper_middle,1
374.648,upper_left,1
375.923,upper_wall,1
555.636,left_wall,1
561.005,lower_wall,1
610.423,right_wall,1
611.689,upper_wall,1
635.246,END,0
