time,code,class
57.435,center_middle,1
60.003,lower_middle,1
61.008,center_left,1
61.777,left_wall,1
63.076,upper_wall,1
67.413,right_wall,1
69.984,center_right,1
70.242,lower_right,1
71.253,lower_wall,1
74.323,left_wall,1
79.459,upper_left,1
80.226,upper_middle,1
81.232,upper_right,1
82.786,right_wall,1
84.562,upper_wall,1
87.898,upper_left,1
89.436,upper_wall,1
90.971,left_wall,1
93.539,lower_wall,1
98.145,lower_middle,1
99.414,lower_wall,1
101.712,right_wall,1
104.786,upper_wall,1
109.392,upper_right,1
110.16,center_right,1
111.188,center_middle,1
111.956,center_left,1
113.49,left_wall,1
114.768,upper_wall,1
119.395,right_wall,1
121.937,lower_right,1
122.705,lower_wall,1
128.866,left_wall,1
131.171,center_left,1
131.939,upper_left,1
132.948,upper_wall,1
136.785,right_wall,1
139.856,center_right,1
140.387,center_middle,1
141.152,center_left,1
142.925,left_wall,1
143.714,upper_wall,1
158.304,upper_right,1
158.805,upper_middle,1
159.33,upper_left,1
160.342,left_wall,1
162.143,upper_wall,1
163.678,left_wall,1
165.714,lower_wall,1
173.41,right_wall,1
174.686,center_right,1
175.957,right_wall,1
176.99,upper_wall,1
181.594,left_wall,1
182.36,upper_left,1
183.396,center_left,1
184.163,lower_left,1
184.662,lower_wall,1
186.201,left_wall,1
188.002,lower_left,1
189.266,lower_middle,1
190.033,lower_wall,1
196.178,left_wall,1
198.743,upper_left,1
199.248,upper_wall,1
202.579,upper_right,1
203.617,right_wall,1
205.151,lower_wall,1
209.251,lower_right,1
210.258,center_right,1
211.29,center_middle,1
212.058,center_left,1
212.561,lower_left,1
214.627,lower_wall,1
229.974,lower_left,1
230.741,center_left,1
231.248,upper_left,1
232.276,upper_middle,1
232.783,upper_right,1
234.338,right_wall,1
235.106,upper_wall,1
236.384,right_wall,1
237.919,upper_right,1
240.221,center_right,1
241.489,lower_right,1
242.523,lower_wall,1
247.631,lower_middle,1
248.418,lower_left,1
249.697,center_left,1
250.464,left_wall,1
250.966,upper_wall,1
255.835,left_wall,1
257.873,lower_wall,1
259.408,left_wall,1
263.543,lower_left,1
264.567,left_wall,1
267.381,upper_wall,1
269.944,upper_left,1
271.72,upper_middle,1
273.253,center_right,1
274.286,lower_right,1
275.052,right_wall,1
275.558,lower_wall,1
280.951,right_wall,1
286.328,upper_wall,1
296.044,upper_middle,1
297.077,center_middle,1
298.346,lower_middle,1
299.38,lower_wall,1
317.799,lower_right,1
318.83,right_wall,1
323.7,lower_wall,1
336.747,lower_right,1
337.784,center_right,1
338.552,right_wall,1
339.319,upper_right,1
342.124,upper_wall,1
349.294,upper_middle,1
350.06,upper_left,1
351.097,left_wall,1
352.632,lower_wall,1
356.727,lower_left,1
361.842,center_left,1
362.609,left_wall,1
363.878,upper_wall,1
369.253,upper_left,1
370.019,upper_wall,1
375.156,right_wall,1
378.727,lower_right,1
379.492,lower_wall,1
384.869,lower_middle,1
385.637,lower_wall,1
386.665,left_wall,1
388.198,lower_left,1
389.737,center_left,1
390.264,center_middle,1
391.032,center_right,1
392.569,right_wall,1
395.373,upper_wall,1
450.665,upper_right,1
451.699,upper_middle,1
455.27,upper_left,1
456.569,upper_wall,1
476.52,right_wall,1
503.914,center_right,1
504.421,upper_right,1
504.951,upper_middle,1
505.719,upper_wall,1
510.584,left_wall,1
513.895,lower_wall,1
527.208,right_wall,1
530.278,lower_wall,1
541.048,left_wall,1
543.591,lower_left,1
550.501,lower_middle,1
551.031,lower_right,1
552.566,right_wall,1
553.591,lower_wall,1
556.903,right_wall,1
559.207,upper_wall,1
601.976,upper_middle,1
603.513,upper_left,1
625.769,upper_wall,1
662.904,left_wall,1
673.654,END,0
