time,code,class
29.712,center_middle,1
31.054,center_right,1
32.38,right_wall,1
33.721,upper_wall,1
38.054,left_wall,1
39.721,lower_wall,1
48.739,right_wall,1
52.409,upper_wall,1
56.741,upper_right,1
58.083,upper_middle,1
59.07,center_left,1
60.075,left_wall,1
62.415,lower_left,1
63.745,left_wall,1
66.425,upper_wall,1
73.424,upper_middle,1
74.084,upper_right,1
74.766,upper_wall,1
77.433,right_wall,1
80.424,lower_wall,1
86.101,left_wall,1
87.779,lower_wall,1
90.446,lower_left,1
93.442,center_left,1
94.116,left_wall,1
97.785,upper_wall,1
113.806,upper_right,1
114.797,center_right,1
115.797,right_wall,1
117.135,lower_wall,1
122.808,left_wall,1
125.14,upper_wall,1
135.483,upper_left,1
136.486,center_left,1
138.153,center_middle,1
143.162,upper_middle,1
144.827,upper_right,1
146.169,upper_middle,1
147.172,upper_left,1
148.173,center_left,1
151.166,center_middle,1
151.843,upper_middle,1
155.513,upper_wall,1
198.222,right_wall,1
207.889,lower_wall,1
217.232,left_wall,1
223.246,lower_wall,1
231.913,lower_right,1
232.59,center_right,1
233.592,upper_right,1
234.918,upper_wall,1
263.951,upper_middle,1
264.613,center_left,1
268.283,left_wall,1
271.288,upper_wall,1
281.296,upper_left,1
281.961,upper_middle,1
283.632,center_right,1
284.966,right_wall,1
286.308,lower_wall,1
298.318,lower_right,1
299.321,center_right,1
300.324,upper_right,1
301.65,upper_wall,1
303.952,upper_wall,1
309.291,right_wall,1
318.308,center_right,1
319.634,center_middle,1
322.304,upper_left,1
330.318,center_left,1
331.646,left_wall,1
335.65,lower_wall,1
348.666,left_wall,1
352.676,lower_left,1
353.678,lower_wall,1
355.342,lower_right,1
356.005,lower_middle,1
357.007,lower_left,1
357.672,lower_wall,1
359.012,lower_middle,1
359.675,lower_right,1
370.019,lower_wall,1
372.025,left_wall,1
373.691,upper_wall,1
678.52,END,0
