time,code,class
49.116,center_middle,1
54.128,upper_middle,1
54.555,upper_left,1
54.961,center_left,1
57.057,lower_left,1
58.325,lower_wall,1
59.993,lower_right,1
60.401,right_wall,1
62.704,center_right,1
63.564,upper_right,1
64.624,upper_wall,1
66.5,upper_right,1
66.7,center_right,1
67.313,center_middle,1
68.144,lower_middle,1
68.569,lower_left,1
69.189,lower_wall,1
71.036,left_wall,1
74.075,lower_wall,1
78.682,lower_left,1
79.109,center_left,1
80.561,left_wall,1
82.224,lower_wall,1
85.152,left_wall,1
85.574,lower_left,1
86.618,lower_wall,1
89.756,right_wall,1
90.801,lower_wall,1
91.846,right_wall,1
95.963,lower_wall,1
100.767,lower_left,1
101.202,lower_middle,1
101.829,lower_right,1
103.472,right_wall,1
103.705,lower_wall,1
104.112,right_wall,1
107.248,upper_wall,1
122.656,right_wall,1
123.909,upper_right,1
124.528,upper_wall,1
126.833,upper_middle,1
128.095,upper_left,1
128.518,center_left,1
129.349,lower_left,1
130.398,center_left,1
130.8,center_middle,1
131.44,upper_middle,1
132.486,upper_wall,1
134.362,upper_left,1
135.622,left_wall,1
137.094,upper_wall,1
146.522,upper_right,1
147.355,upper_middle,1
148.209,center_middle,1
152.152,center_right,1
154.651,right_wall,1
156.523,lower_wall,1
164.832,left_wall,1
169.434,upper_wall,1
170.07,upper_middle,1
170.905,center_middle,1
172.339,lower_middle,1
175.046,center_middle,1
176.109,center_right,1
176.517,upper_right,1
177.577,upper_wall,1
187.759,left_wall,1
190.896,lower_wall,1
194.228,lower_middle,1
194.861,lower_right,1
195.897,right_wall,1
198.198,center_right,1
199.237,center_middle,1
200.709,center_left,1
202.168,upper_left,1
202.587,upper_middle,1
203.419,center_middle,1
207.174,upper_middle,1
208.008,center_middle,1
210.51,center_left,1
211.567,upper_middle,1
214.047,upper_right,1
215.109,upper_wall,1
223.023,right_wall,1
225.114,upper_wall,1
226.994,upper_right,1
227.398,upper_middle,1
227.627,upper_wall,1
228.87,upper_left,1
230.341,left_wall,1
234.31,lower_wall,1
236.637,lower_middle,1
237.68,center_middle,1
238.306,center_right,1
239.973,right_wall,1
247.28,lower_wall,1
254.187,right_wall,1
262.296,lower_right,1
262.898,center_right,1
263.33,center_middle,1
267.504,lower_middle,1
268.336,lower_wall,1
269.203,lower_middle,1
271.105,center_middle,1
273.819,center_left,1
276.741,lower_left,1
277.147,left_wall,1
277.979,lower_wall,1
279.046,left_wall,1
281.563,center_left,1
283.85,left_wall,1
287.42,upper_wall,1
290.123,upper_left,1
293.467,upper_middle,1
301.424,upper_right,1
301.834,center_right,1
306.032,center_middle,1
311.478,upper_middle,1
312.944,upper_wall,1
320.433,left_wall,1
328.596,lower_wall,1
330.672,left_wall,1
334.435,lower_left,1
335.269,center_left,1
335.472,center_middle,1
338.608,upper_left,1
340.485,upper_middle,1
342.149,center_middle,1
343.408,lower_middle,1
344.645,lower_wall,1
354.654,left_wall,1
357.357,lower_left,1
360.694,center_middle,1
362.139,center_right,1
362.971,right_wall,1
368.001,upper_wall,1
376.112,upper_right,1
376.542,upper_middle,1
379.889,center_middle,1
382.849,lower_middle,1
383.049,lower_right,1
383.884,lower_wall,1
391.258,lower_middle,1
393.56,center_middle,1
396.272,center_left,1
398.565,left_wall,1
400.434,lower_wall,1
406.277,lower_left,1
408.817,center_left,1
409.243,center_middle,1
413.446,center_right,1
415.115,lower_right,1
419.285,center_right,1
419.486,center_middle,1
420.12,center_left,1
423.024,left_wall,1
426.393,center_left,1
430.576,upper_middle,1
433.073,center_middle,1
437.905,center_right,1
438.938,upper_right,1
440.607,upper_middle,1
442.277,center_middle,1
444.784,lower_middle,1
446.47,lower_wall,1
447.494,lower_right,1
448.539,center_right,1
449.35,lower_right,1
453.36,center_right,1
456.523,right_wall,1
460.293,lower_wall,1
