time,code,class
9.71,center_middle,1
11.245,upper_middle,1
13.013,upper_right,1
15.049,upper_middle,1
16.583,upper_left,1
17.618,upper_wall,1
20.186,left_wall,1
22.726,lower_wall,1
26.828,right_wall,1
30.426,upper_right,1
31.194,center_right,1
31.698,center_middle,1
33.498,center_left,1
34.501,lower_left,1
36.037,left_wall,1
36.806,lower_wall,1
38.606,lower_left,1
39.374,center_left,1
40.646,left_wall,1
41.942,upper_wall,1
47.048,right_wall,1
48.85,center_right,1
50.384,lower_right,1
50.885,lower_middle,1
51.919,lower_left,1
52.954,left_wall,1
55.255,upper_wall,1
59.093,left_wall,1
60.123,upper_left,1
60.361,upper_middle,1
61.396,upper_right,1
62.664,center_right,1
63.43,right_wall,1
64.199,lower_wall,1
66.267,lower_left,1
66.768,center_left,1
67.035,center_middle,1
67.801,upper_middle,1
69.572,upper_right,1
70.604,upper_wall,1
72.646,upper_left,1
73.174,upper_middle,1
73.941,center_middle,1
75.209,lower_middle,1
77.779,center_middle,1
79.047,upper_right,1
80.347,upper_wall,1
85.72,upper_right,1
86.725,right_wall,1
87.515,center_right,1
88.021,right_wall,1
88.523,center_right,1
90.057,upper_middle,1
91.354,upper_wall,1
96.496,left_wall,1
101.101,upper_left,1
102.107,upper_middle,1
103.404,upper_right,1
104.431,upper_wall,1
108.009,right_wall,1
112.347,lower_wall,1
114.148,lower_right,1
115.181,lower_wall,1
119.019,left_wall,1
121.322,upper_wall,1
127.727,upper_left,1
128.228,upper_middle,1
132.065,upper_left,1
132.572,upper_middle,1
133.099,center_middle,1
135.136,lower_middle,1
135.664,lower_left,1
136.938,center_left,1
139.503,left_wall,1
142.043,lower_wall,1
148.715,right_wall,1
153.32,upper_wall,1
166.895,upper_left,1
167.401,upper_middle,1
174.307,upper_left,1
176.61,upper_middle,1
177.377,center_middle,1
178.913,center_right,1
179.679,lower_right,1
180.715,lower_wall,1
185.583,right_wall,1
187.119,lower_wall,1
190.958,right_wall,1
192.492,center_right,1
192.993,upper_right,1
193.761,center_middle,1
195.035,lower_left,1
196.591,lower_wall,1
198.128,left_wall,1
201.701,center_left,1
202.203,left_wall,1
203.503,upper_wall,1
213.48,upper_right,1
215.516,upper_middle,1
217.82,upper_left,1
219.355,upper_wall,1
226.526,left_wall,1
239.34,center_left,1
239.839,lower_left,1
240.347,lower_middle,1
240.874,lower_right,1
241.641,lower_wall,1
246.746,lower_right,1
247.28,center_right,1
247.782,center_middle,1
248.549,upper_middle,1
252.652,upper_right,1
253.42,right_wall,1
257.257,upper_wall,1
260.827,right_wall,1
261.594,upper_right,1
261.861,upper_middle,1
262.896,center_middle,1
263.397,center_left,1
264.666,lower_middle,1
264.931,lower_left,1
265.699,lower_wall,1
271.838,left_wall,1
272.872,lower_left,1
273.374,center_left,1
274.141,upper_left,1
274.408,upper_middle,1
275.675,upper_wall,1
284.651,right_wall,1
288.221,lower_wall,1
290.287,lower_right,1
291.291,lower_middle,1
292.059,lower_left,1
292.827,center_left,1
294.364,upper_middle,1
297.697,center_middle,1
300.507,lower_middle,1
300.768,lower_right,1
301.802,right_wall,1
302.302,lower_wall,1
304.368,lower_right,1
305.371,lower_middle,1
305.639,center_middle,1
306.14,center_left,1
306.906,upper_left,1
307.674,left_wall,1
312.046,lower_wall,1
315.615,lower_middle,1
316.383,center_middle,1
316.911,center_right,1
317.68,center_middle,1
317.918,upper_middle,1
318.448,upper_left,1
319.984,upper_wall,1
330.203,upper_left,1
331.231,left_wall,1
331.76,upper_left,1
332.265,upper_middle,1
333.033,upper_right,1
334.064,upper_wall,1
340.442,right_wall,1
342.747,lower_wall,1
346.847,lower_middle,1
347.615,center_middle,1
348.381,upper_middle,1
352.986,upper_left,1
358.362,upper_wall,1
367.067,center_middle,1
367.599,upper_middle,1
368.603,center_middle,1
368.868,center_right,1
369.636,lower_right,1
370.671,lower_wall,1
373.74,right_wall,1
378.845,lower_right,1
379.613,center_right,1
380.38,upper_middle,1
381.916,upper_left,1
382.949,upper_wall,1
384.752,upper_left,1
385.518,left_wall,1
386.02,upper_wall,1
388.058,left_wall,1
393.455,center_left,1
394.727,upper_middle,1
397.296,upper_wall,1
405.999,upper_right,1
407.274,right_wall,1
410.845,upper_wall,1
416.75,upper_right,1
418.284,upper_middle,1
420.058,center_middle,1
421.354,center_right,1
424.924,center_middle,1
425.959,upper_middle,1
428.763,center_left,1
429.796,lower_left,1
430.831,lower_wall,1
440.54,left_wall,1
442.607,center_left,1
444.143,upper_left,1
444.378,upper_middle,1
451.291,center_middle,1
452.586,center_right,1
453.355,lower_right,1
457.192,center_right,1
457.456,center_middle,1
458.459,center_left,1
459.759,upper_left,1
460.762,left_wall,1
465.371,upper_wall,1
541.915,upper_middle,1
543.472,upper_left,1
544.24,center_left,1
545.007,upper_left,1
545.775,left_wall,1
546.544,upper_wall,1
577.012,upper_left,1
578.31,upper_middle,1
583.92,upper_right,1
586.004,upper_middle,1
589.59,upper_wall,1
592.155,left_wall,1
596.229,lower_wall,1
599.566,lower_left,1
600.069,lower_wall,1
601.869,lower_left,1
602.636,lower_middle,1
603.93,lower_wall,1
605.466,lower_middle,1
611.078,lower_left,1
612.379,center_left,1
613.147,left_wall,1
614.681,upper_wall,1
622.725,left_wall,1
624.023,upper_left,1
626.327,upper_middle,1
627.862,END,0
