time,code,class
0.733,center_middle,1
0.965,upper_middle,1
0.965,upper_right,1
2.001,upper_wall,1
4.4,right_wall,1
8,lower_wall,1
12.801,left_wall,1
15.201,upper_wall,1
22.401,right_wall,1
23.601,center_right,1
24.801,center_middle,1
26,lower_middle,1
28.4,lower_right,1
29.601,lower_wall,1
29.601,right_wall,1
30.801,center_right,1
32,upper_right,1
33.2,upper_middle,1
34.401,upper_wall,1
36.8,left_wall,1
40.4,lower_wall,1
42.8,right_wall,1
46.4,upper_wall,1
48.801,upper_left,1
50.001,left_wall,1
52.4,lower_left,1
52.4,lower_wall,1
54.801,right_wall,1
58.4,upper_right,1
59.6,upper_wall,1
62,left_wall,1
65.6,lower_wall,1
70.4,lower_left,1
70.4,lower_middle,1
70.4,lower_right,1
71.601,center_right,1
72.8,right_wall,1
74,upper_wall,1
75.201,upper_right,1
75.201,upper_middle,1
76.4,upper_left,1
77.601,left_wall,1
78.801,upper_wall,1
82.401,upper_middle,1
82.401,upper_right,1
84.8,center_right,1
86.001,lower_right,1
88.4,lower_middle,1
88.4,center_middle,1
89.601,center_right,1
92.001,right_wall,1
93.2,lower_wall,1
95.601,right_wall,1
96.8,lower_wall,1
101.601,left_wall,1
104,upper_wall,1
113.601,right_wall,1
114.801,upper_right,1
116.001,center_right,1
117.2,center_middle,1
117.2,upper_middle,1
118.401,upper_left,1
119.601,left_wall,1
122,center_left,1
122,lower_left,1
123.201,lower_wall,1
129.201,right_wall,1
132.8,upper_wall,1
137.601,upper_middle,1
138.8,center_middle,1
140,lower_middle,1
140,lower_left,1
141.201,lower_wall,1
142.4,lower_left,1
143.6,lower_middle,1
144.8,lower_right,1
144.8,center_right,1
146,right_wall,1
148.4,lower_wall,1
155.601,lower_right,1
155.601,center_right,1
156.801,upper_right,1
156.801,upper_middle,1
158.001,upper_left,1
159.2,left_wall,1
160.401,center_left,1
161.6,lower_left,1
161.6,left_wall,1
164,lower_wall,1
168.8,left_wall,1
172.4,upper_wall,1
182,right_wall,1
190.4,upper_wall,1
195.201,upper_middle,1
196.4,center_middle,1
200,lower_right,1
200,lower_middle,1
202.401,lower_left,1
203.601,center_left,1
203.601,lower_left,1
204.801,center_middle,1
206,center_right,1
206,center_middle,1
208.401,center_left,1
208.401,upper_left,1
209.601,left_wall,1
214.4,lower_wall,1
233.602,right_wall,1
234.801,lower_right,1
236.001,right_wall,1
237.2,upper_wall,1
240.801,left_wall,1
244.4,center_left,1
244.4,lower_left,1
245.6,lower_wall,1
251.601,right_wall,1
254,upper_wall,1
256.401,upper_right,1
256.401,upper_middle,1
257.6,center_right,1
257.6,center_middle,1
258.801,lower_middle,1
258.801,lower_wall,1
267.2,left_wall,1
269.6,center_left,1
272.001,center_middle,1
272.001,upper_middle,1
272.001,upper_right,1
274.4,right_wall,1
279.201,center_right,1
279.201,upper_right,1
282.8,center_right,1
282.8,center_middle,1
285.2,center_left,1
286.4,left_wall,1
290,upper_wall,1
294.8,upper_middle,1
296.001,upper_left,1
296.001,center_left,1
297.2,center_middle,1
298.4,lower_right,1
299.6,right_wall,1
300.8,lower_wall,1
315.2,left_wall,1
320,center_left,1
320,upper_left,1
320,upper_wall,1
322.4,left_wall,1
324.8,lower_left,1
324.8,lower_middle,1
324.8,lower_wall,1
326,lower_right,1
327.201,right_wall,1
328.4,upper_wall,1
334.401,upper_middle,1
335.601,center_middle,1
336.8,lower_middle,1
338,lower_wall,1
352.4,lower_middle,1
353.601,center_middle,1
354.8,upper_middle,1
357.2,upper_left,1
358.401,left_wall,1
360.801,lower_wall,1
363.201,left_wall,1
364.4,lower_wall,1
377.6,lower_left,1
378.8,lower_middle,1
378.8,lower_right,1
380,center_middle,1
381.2,lower_left,1
382.4,lower_middle,1
384.8,lower_left,1
387.201,center_left,1
387.201,upper_left,1
388.4,upper_middle,1
389.601,upper_right,1
389.601,upper_wall,1
392,right_wall,1
393.2,upper_right,1
394.4,center_right,1
395.6,lower_right,1
396.801,lower_wall,1
400.401,right_wall,1
401.601,lower_wall,1
404.001,lower_right,1
405.2,lower_middle,1
406.4,lower_left,1
410.001,center_left,1
410.001,left_wall,1
414.801,upper_wall,1
422,upper_left,1
425.601,upper_middle,1
425.601,center_middle,1
428,lower_middle,1
432.8,center_middle,1
435.2,upper_middle,1
441.2,center_middle,1
442.4,upper_middle,1
443.601,upper_left,1
443.601,upper_wall,1
448.4,right_wall,1
450.801,lower_wall,1
454.4,lower_middle,1
455.601,lower_right,1
458,right_wall,1
460.401,upper_wall,1
465.201,upper_right,1
467.601,center_right,1
468.8,lower_right,1
471.201,lower_wall,1
476,left_wall,1
480.801,upper_left,1
482,upper_middle,1
483.201,upper_right,1
484.401,center_right,1
486.8,right_wall,1
489.2,upper_wall,1
490.4,upper_right,1
491.6,upper_middle,1
491.6,center_middle,1
494,lower_middle,1
494,lower_left,1
494,lower_wall,1
501.2,lower_left,1
502.4,center_left,1
503.6,upper_left,1
504.801,center_left,1
507.201,lower_left,1
508.401,lower_wall,1
508.401,lower_middle,1
509.6,center_middle,1
509.6,center_right,1
510.8,upper_right,1
510.8,upper_middle,1
510.8,upper_left,1
513.2,left_wall,1
516.8,lower_wall,1
531.2,lower_middle,1
531.2,center_middle,1
533.6,upper_middle,1
533.6,upper_right,1
534.8,upper_wall,1
542,upper_left,1
544.4,center_left,1
545.6,lower_left,1
546.8,lower_middle,1
548,center_middle,1
549.201,center_right,1
549.201,upper_right,1
550.401,right_wall,1
551.6,upper_wall,1
552.801,right_wall,1
554.001,center_right,1
555.2,lower_right,1
556.401,lower_wall,1
558.801,right_wall,1
560,center_right,1
560,upper_right,1
562.4,upper_wall,1
564.801,upper_right,1
564.801,upper_middle,1
570.8,upper_left,1
572.001,left_wall,1
574.401,lower_wall,1
578,lower_left,1
581.6,lower_middle,1
581.6,center_middle,1
582.8,center_right,1
582.8,upper_right,1
584,upper_wall,1
586.401,upper_right,1
588.801,center_right,1
590,center_middle,1
603.201,center_left,1
604.401,upper_left,1
605.48,END,0
