time,code,class
1.072,center_middle,1
2.12,center_left,1
3.321,lower_left,1
3.321,left_wall,1
4.561,upper_left,1
8.281,left_wall,1
10.761,lower_left,1
10.761,lower_wall,1
14.48,lower_right,1
15.72,right_wall,1
16.96,lower_right,1
16.96,lower_middle,1
16.96,lower_left,1
18.2,left_wall,1
19.44,lower_wall,1
21.961,left_wall,1
21.961,center_left,1
23.201,upper_left,1
24.441,upper_wall,1
28.161,upper_middle,1
29.401,upper_right,1
29.401,center_right,1
30.641,right_wall,1
31.88,lower_wall,1
35.6,lower_right,1
35.6,lower_middle,1
36.84,lower_left,1
36.84,left_wall,1
39.321,upper_left,1
40.56,upper_middle,1
45.52,upper_right,1
46.761,right_wall,1
48.001,lower_right,1
49.24,lower_wall,1
56.722,lower_left,1
57.96,lower_wall,1
60.441,lower_left,1
61.68,lower_middle,1
62.92,lower_right,1
64.161,center_right,1
65.401,right_wall,1
66.64,upper_wall,1
76.56,upper_left,1
77.801,center_left,1
79.04,lower_left,1
81.52,lower_middle,1
81.52,lower_wall,1
82.76,lower_right,1
82.76,right_wall,1
84.001,lower_wall,1
84.001,right_wall,1
86.48,upper_wall,1
91.44,right_wall,1
93.961,upper_wall,1
97.68,upper_left,1
97.68,left_wall,1
100.161,lower_wall,1
107.601,right_wall,1
110.08,lower_wall,1
112.561,lower_right,1
112.561,lower_middle,1
113.8,lower_left,1
115.04,center_left,1
116.281,upper_left,1
117.521,center_middle,1
120,upper_middle,1
120,upper_right,1
121.24,upper_middle,1
122.481,upper_left,1
126.2,upper_middle,1
126.2,upper_right,1
127.441,center_right,1
128.721,right_wall,1
129.961,upper_wall,1
153.521,right_wall,1
153.521,upper_right,1
154.761,center_middle,1
157.241,lower_left,1
158.481,left_wall,1
159.72,lower_wall,1
165.96,right_wall,1
172.16,center_right,1
173.4,upper_right,1
173.4,upper_middle,1
174.64,upper_left,1
175.881,center_left,1
177.12,lower_left,1
178.36,lower_wall,1
183.321,left_wall,1
189.521,lower_wall,1
192,lower_left,1
193.24,lower_wall,1
196.961,right_wall,1
200.72,upper_wall,1
210.641,left_wall,1
215.6,upper_left,1
216.84,center_left,1
216.84,center_middle,1
218.081,lower_middle,1
218.081,lower_right,1
219.32,lower_wall,1
220.561,right_wall,1
221.8,lower_right,1
223.04,center_right,1
223.04,center_middle,1
225.52,lower_middle,1
228.001,lower_wall,1
231.72,lower_middle,1
235.441,center_middle,1
236.721,upper_middle,1
237.96,upper_right,1
239.2,upper_wall,1
245.4,upper_left,1
246.641,center_left,1
247.88,left_wall,1
251.601,lower_wall,1
260.281,lower_right,1
260.281,center_right,1
261.52,right_wall,1
265.24,upper_right,1
266.48,upper_middle,1
280.161,center_middle,1
280.161,center_left,1
282.64,center_middle,1
283.88,upper_middle,1
283.88,upper_right,1
285.12,upper_wall,1
291.321,right_wall,1
297.52,center_right,1
297.52,lower_right,1
298.761,lower_middle,1
300,lower_left,1
301.24,lower_wall,1
302.481,left_wall,1
304.96,lower_left,1
308.72,lower_wall,1
327.32,right_wall,1
329.8,center_right,1
331.041,center_middle,1
331.041,upper_middle,1
332.281,upper_left,1
332.281,upper_wall,1
337.24,left_wall,1
338.481,upper_left,1
339.721,upper_wall,1
343.44,upper_middle,1
345.96,upper_right,1
347.201,center_right,1
347.201,center_middle,1
348.44,lower_left,1
349.681,lower_wall,1
353.4,left_wall,1
359.601,upper_left,1
362.08,center_left,1
362.08,lower_left,1
363.32,lower_middle,1
363.32,lower_right,1
363.32,lower_wall,1
369.521,right_wall,1
375.72,center_right,1
375.72,upper_right,1
376.96,upper_middle,1
376.96,upper_left,1
378.2,left_wall,1
379.441,upper_wall,1
389.4,upper_middle,1
390.64,upper_left,1
393.12,center_left,1
393.12,lower_left,1
394.36,lower_wall,1
400.56,lower_left,1
401.8,lower_middle,1
403.04,lower_wall,1
410.48,right_wall,1
412.96,center_right,1
415.44,center_middle,1
416.72,lower_left,1
420.44,lower_middle,1
421.68,center_middle,1
421.68,center_right,1
422.92,upper_right,1
441.52,upper_wall,1
502.36,right_wall,1
504.841,upper_right,1
507.32,upper_middle,1
508.56,upper_wall,1
522.201,upper_left,1
523.44,upper_wall,1
544.561,upper_left,1
547.041,center_left,1
547.041,center_middle,1
548.281,center_right,1
549.52,upper_right,1
550.76,upper_wall,1
554.48,right_wall,1
555.721,upper_wall,1
556.961,right_wall,1
560.721,lower_wall,1
566.92,left_wall,1
579.32,lower_wall,1
586.76,lower_left,1
588,lower_middle,1
589.241,center_middle,1
589.241,upper_middle,1
590.481,upper_wall,1
597.961,upper_right,1
600.441,center_right,1
602.92,upper_right,1
607.182,END,0
