time,code,class
0.948,center_middle,1
2.041,lower_middle,1
2.041,lower_right,1
4.4,right_wall,1
6.801,lower_right,1
8.001,center_right,1
8.001,lower_middle,1
9.201,lower_wall,1
12.801,left_wall,1
15.2,upper_left,1
16.4,upper_wall,1
17.601,upper_right,1
18.8,center_right,1
18.8,center_middle,1
20.001,lower_middle,1
21.201,lower_right,1
21.201,lower_wall,1
22.401,right_wall,1
24.8,upper_right,1
26,upper_middle,1
28.4,upper_left,1
28.4,upper_middle,1
29.601,center_middle,1
30.801,lower_middle,1
32.001,lower_left,1
33.201,left_wall,1
38.001,center_left,1
38.001,upper_left,1
39.201,upper_middle,1
39.201,upper_right,1
40.4,center_right,1
41.601,lower_right,1
44.001,lower_wall,1
46.4,right_wall,1
47.6,center_right,1
50.001,lower_right,1
50.001,center_middle,1
52.401,lower_middle,1
54.8,lower_right,1
56.001,right_wall,1
57.2,lower_wall,1
60.8,right_wall,1
63.201,upper_wall,1
81.201,upper_right,1
82.4,upper_middle,1
83.601,upper_left,1
84.801,center_left,1
86,left_wall,1
87.2,lower_wall,1
93.2,right_wall,1
95.6,lower_right,1
95.6,lower_middle,1
96.8,center_middle,1
98.001,upper_middle,1
99.201,upper_wall,1
105.2,right_wall,1
110,lower_wall,1
118.401,left_wall,1
122,upper_wall,1
126.801,upper_left,1
126.801,upper_middle,1
129.2,upper_right,1
130.4,upper_wall,1
134,left_wall,1
140.001,lower_left,1
141.201,lower_wall,1
150.801,lower_middle,1
150.801,center_middle,1
152.001,center_right,1
153.201,right_wall,1
158.001,upper_right,1
158.001,upper_middle,1
159.201,upper_wall,1
160.401,upper_left,1
161.6,upper_wall,1
162.801,left_wall,1
171.2,center_left,1
172.401,center_middle,1
173.6,lower_middle,1
176.001,lower_right,1
180.801,right_wall,1
185.601,upper_wall,1
191.6,upper_right,1
192.801,upper_middle,1
195.2,center_middle,1
196.401,center_left,1
201.201,upper_left,1
204.801,center_left,1
206.001,lower_left,1
207.2,lower_wall,1
218,lower_left,1
219.2,lower_middle,1
220.4,lower_wall,1
224.001,right_wall,1
234.801,lower_right,1
236.001,center_right,1
237.2,center_middle,1
237.2,center_left,1
238.4,upper_left,1
240.801,upper_middle,1
244.401,upper_right,1
246.8,right_wall,1
250.4,upper_wall,1
266.001,left_wall,1
269.6,lower_wall,1
272,left_wall,1
278,lower_left,1
278,center_left,1
279.2,upper_left,1
280.4,upper_middle,1
280.4,upper_right,1
286.4,right_wall,1
288.801,upper_wall,1
292.4,right_wall,1
293.6,upper_right,1
293.6,upper_middle,1
294.8,upper_left,1
296,left_wall,1
297.2,upper_wall,1
300.8,left_wall,1
304.401,center_left,1
305.6,lower_middle,1
308,lower_right,1
308,lower_middle,1
310.4,lower_wall,1
317.6,left_wall,1
321.2,lower_left,1
322.4,left_wall,1
324.8,lower_wall,1
327.2,lower_left,1
328.4,lower_middle,1
328.4,center_middle,1
328.4,center_right,1
329.601,lower_right,1
330.801,right_wall,1
333.201,lower_wall,1
339.201,lower_right,1
339.201,right_wall,1
340.4,lower_right,1
341.601,center_right,1
342.801,upper_middle,1
344,upper_left,1
344,upper_wall,1
353.6,right_wall,1
356,center_right,1
358.4,upper_middle,1
360.801,upper_left,1
366.8,center_left,1
369.201,lower_left,1
370.4,lower_wall,1
371.6,left_wall,1
374,lower_wall,1
375.201,lower_left,1
377.6,lower_middle,1
377.6,center_middle,1
380.001,center_left,1
381.201,lower_left,1
382.401,center_left,1
383.6,upper_left,1
384.8,upper_wall,1
394.4,upper_left,1
395.601,upper_middle,1
396.8,center_middle,1
399.201,lower_middle,1
404,lower_wall,1
414.8,left_wall,1
422.001,upper_wall,1
430.4,right_wall,1
436.401,center_right,1
437.6,upper_right,1
438.8,right_wall,1
440.001,upper_right,1
441.2,upper_wall,1
444.8,upper_right,1
444.8,upper_middle,1
448.4,center_middle,1
449.601,center_left,1
450.801,lower_left,1
452,lower_wall,1
458,left_wall,1
459.2,lower_left,1
462.801,lower_middle,1
462.801,lower_wall,1
474.8,lower_middle,1
476.001,lower_right,1
477.201,center_right,1
477.201,center_middle,1
478.4,upper_middle,1
479.601,upper_left,1
480.801,upper_wall,1
485.601,left_wall,1
489.201,upper_left,1
490.4,center_left,1
491.601,upper_left,1
491.601,upper_wall,1
503.6,right_wall,1
506.001,upper_wall,1
521.6,right_wall,1
525.201,lower_wall,1
530.001,lower_right,1
537.2,lower_wall,1
538.401,lower_middle,1
539.6,center_middle,1
539.6,center_left,1
543.201,left_wall,1
545.6,center_left,1
546.802,center_middle,1
548.001,upper_middle,1
551.601,upper_wall,1
603.2,upper_left,1
605.601,center_left,1
605.601,lower_left,1
606.8,lower_wall,1
621.2,right_wall,1
626.24,END,0
