time,code,class
0.191,center_middle,1
3.601,center_left,1
3.66,lower_left,1
4.441,lower_middle,1
5.6,lower_left,1
8,left_wall,1
10.4,lower_left,1
11.601,center_left,1
11.601,upper_left,1
12.8,left_wall,1
14,upper_wall,1
18.8,right_wall,1
21.2,lower_wall,1
24.799,lower_middle,1
24.799,lower_left,1
26,lower_wall,1
27.2,left_wall,1
29.601,upper_wall,1
35.6,right_wall,1
36.799,upper_right,1
38,upper_wall,1
40.4,upper_middle,1
40.4,upper_left,1
41.6,center_left,1
42.799,center_middle,1
45.2,upper_middle,1
46.401,upper_right,1
48.799,upper_middle,1
50,center_middle,1
50,center_right,1
51.2,lower_right,1
53.6,lower_middle,1
53.6,lower_left,1
56,left_wall,1
60.799,upper_wall,1
65.601,upper_left,1
68,upper_middle,1
70.401,center_middle,1
71.6,center_left,1
72.8,left_wall,1
75.2,upper_left,1
76.401,upper_middle,1
82.4,center_middle,1
86,center_left,1
88.401,center_middle,1
89.6,center_left,1
93.2,upper_middle,1
95.6,upper_right,1
95.6,center_right,1
96.799,lower_right,1
98,lower_wall,1
100.4,right_wall,1
101.6,center_right,1
102.8,right_wall,1
108.8,lower_right,1
110,center_right,1
110,center_middle,1
112.4,lower_middle,1
112.4,lower_left,1
113.601,left_wall,1
119.601,upper_wall,1
132.8,right_wall,1
142.401,center_right,1
143.6,upper_right,1
144.8,upper_wall,1
152,left_wall,1
154.401,upper_left,1
155.6,center_left,1
156.801,left_wall,1
158,lower_wall,1
161.6,lower_right,1
162.799,right_wall,1
165.2,lower_wall,1
179.601,left_wall,1
186.799,upper_wall,1
196.4,right_wall,1
197.601,upper_wall,1
201.2,upper_right,1
202.4,right_wall,1
203.6,center_right,1
204.799,lower_right,1
204.799,lower_middle,1
206,lower_wall,1
208.4,left_wall,1
212,upper_wall,1
219.2,left_wall,1
221.601,upper_left,1
221.601,upper_middle,1
225.2,center_middle,1
228.799,center_left,1
230,upper_left,1
232.401,upper_middle,1
234.799,upper_wall,1
252.8,right_wall,1
254,lower_wall,1
264.8,left_wall,1
268.401,lower_left,1
269.6,lower_middle,1
270.8,center_middle,1
270.8,center_right,1
270.8,upper_right,1
274.401,center_right,1
275.601,lower_right,1
276.799,lower_wall,1
279.2,right_wall,1
282.799,lower_wall,1
287.601,right_wall,1
291.2,lower_right,1
292.401,center_middle,1
293.6,center_left,1
294.799,upper_left,1
294.799,left_wall,1
296,upper_wall,1
306.799,right_wall,1
310.4,upper_right,1
311.6,upper_middle,1
316.4,center_middle,1
320,lower_middle,1
320,lower_left,1
321.2,left_wall,1
327.2,upper_wall,1
339.2,right_wall,1
344,lower_right,1
344,lower_middle,1
345.2,lower_left,1
347.601,lower_wall,1
356,lower_middle,1
357.2,center_middle,1
357.2,center_left,1
359.6,lower_left,1
365.6,lower_wall,1
366.8,lower_middle,1
366.8,lower_right,1
368,lower_wall,1
371.6,right_wall,1
372.799,lower_right,1
374,lower_middle,1
374,center_middle,1
375.2,center_left,1
375.2,upper_left,1
376.4,upper_wall,1
380,upper_left,1
380,upper_middle,1
382.4,center_middle,1
383.601,center_right,1
383.601,lower_right,1
386,lower_wall,1
406.401,right_wall,1
408.8,upper_wall,1
418.4,left_wall,1
423.2,lower_wall,1
431.6,lower_left,1
434,center_left,1
435.2,upper_left,1
436.401,upper_wall,1
437.601,left_wall,1
440,upper_wall,1
441.2,upper_left,1
441.2,upper_wall,1
443.6,upper_right,1
446,upper_middle,1
450.799,center_middle,1
450.799,center_left,1
452,lower_left,1
452,left_wall,1
453.2,lower_wall,1
464,right_wall,1
465.2,lower_right,1
465.2,lower_middle,1
468.8,lower_wall,1
470,lower_left,1
471.2,center_left,1
472.4,left_wall,1
477.2,upper_wall,1
482,upper_middle,1
483.2,center_middle,1
484.401,lower_middle,1
485.601,lower_wall,1
503.601,left_wall,1
504.8,lower_left,1
506,lower_wall,1
507.2,lower_middle,1
508.401,lower_wall,1
509.601,lower_right,1
510.8,center_middle,1
515.6,upper_middle,1
515.6,upper_right,1
516.799,center_right,1
516.799,right_wall,1
522.8,lower_right,1
526.401,lower_middle,1
527.601,lower_left,1
530,left_wall,1
530,center_left,1
533.6,center_middle,1
534.799,upper_middle,1
536,upper_right,1
537.2,upper_wall,1
543.2,right_wall,1
545.6,upper_right,1
546.8,upper_middle,1
548,upper_wall,1
551.6,left_wall,1
552.8,upper_left,1
554,upper_middle,1
555.2,center_middle,1
555.2,center_right,1
556.4,lower_right,1
557.601,right_wall,1
557.601,lower_wall,1
574.4,lower_right,1
576.8,center_right,1
578,upper_right,1
578,upper_wall,1
580.4,right_wall,1
587.6,upper_right,1
588.8,center_right,1
592.401,center_middle,1
593.6,lower_middle,1
593.6,lower_left,1
594.799,left_wall,1
596,lower_wall,1
603.08,END,0
