time,code,class
0.756,center_middle,1
1.242,lower_left,1
2.04,left_wall,1
3.2,lower_wall,1
9.201,right_wall,1
11.6,upper_wall,1
16.401,upper_left,1
17.6,center_left,1
17.6,left_wall,1
18.801,lower_wall,1
21.201,left_wall,1
23.601,upper_left,1
23.601,upper_middle,1
24.801,upper_right,1
26.001,right_wall,1
29.601,lower_wall,1
32.001,left_wall,1
34.4,upper_left,1
35.601,upper_middle,1
36.801,upper_right,1
36.801,right_wall,1
38.001,upper_wall,1
44,left_wall,1
46.401,lower_wall,1
48.8,left_wall,1
50,upper_wall,1
53.601,upper_right,1
54.801,center_right,1
54.801,lower_right,1
57.201,lower_middle,1
57.201,lower_wall,1
58.4,left_wall,1
59.601,upper_left,1
60.801,upper_middle,1
60.801,upper_right,1
62,right_wall,1
63.201,upper_right,1
64.4,center_right,1
64.4,center_middle,1
65.6,lower_middle,1
65.6,lower_left,1
66.801,left_wall,1
68.522,upper_left,1
69.24,upper_middle,1
69.24,upper_right,1
71.6,center_right,1
72.8,lower_right,1
72.8,lower_middle,1
72.8,center_middle,1
72.8,center_left,1
74,upper_left,1
75.2,upper_wall,1
77.601,upper_right,1
78.801,center_right,1
80,lower_right,1
80,lower_middle,1
81.2,lower_left,1
82.4,left_wall,1
83.6,lower_wall,1
87.2,left_wall,1
88.4,lower_left,1
89.601,lower_wall,1
90.801,lower_right,1
91.999,right_wall,1
95.601,upper_wall,1
102.801,right_wall,1
104,lower_wall,1
108.8,left_wall,1
110,upper_wall,1
116,right_wall,1
118.4,lower_right,1
119.601,lower_wall,1
119.601,lower_middle,1
120.8,lower_left,1
121.999,center_left,1
121.999,left_wall,1
123.2,upper_left,1
123.2,upper_middle,1
123.2,upper_wall,1
125.601,right_wall,1
126.8,center_right,1
128.001,center_middle,1
129.2,lower_left,1
130.44,left_wall,1
132.801,upper_left,1
132.801,upper_wall,1
135.2,right_wall,1
137.6,lower_right,1
137.6,lower_middle,1
138.801,lower_left,1
138.801,center_left,1
139.999,upper_left,1
141.2,upper_wall,1
143.6,right_wall,1
144.801,lower_right,1
145.999,right_wall,1
147.2,lower_wall,1
149.6,left_wall,1
151.999,upper_wall,1
153.2,left_wall,1
