time,code,class
0.668,center_middle,1
4.04,center_right,1
5.6,right_wall,1
5.6,lower_wall,1
9.2,left_wall,1
12.799,upper_wall,1
21.2,right_wall,1
24.8,lower_wall,1
31.999,left_wall,1
35.601,upper_wall,1
42.8,upper_left,1
43.999,upper_wall,1
46.401,left_wall,1
50,lower_left,1
53.601,lower_middle,1
54.8,lower_wall,1
60.8,right_wall,1
65.6,upper_wall,1
80,left_wall,1
84.8,upper_wall,1
89.6,upper_middle,1
90.799,upper_right,1
93.2,center_right,1
95.6,lower_right,1
96.799,lower_wall,1
111.2,right_wall,1
117.2,upper_wall,1
126.8,left_wall,1
131.6,lower_wall,1
140,right_wall,1
144.799,upper_wall,1
148.401,right_wall,1
154.4,upper_right,1
156.799,upper_wall,1
168.8,upper_left,1
171.2,center_left,1
172.4,lower_left,1
172.4,lower_wall,1
185.601,lower_right,1
185.601,right_wall,1
186.799,center_right,1
190.401,upper_right,1
191.6,right_wall,1
191.6,upper_wall,1
198.799,upper_right,1
200,upper_middle,1
201.2,upper_left,1
202.401,upper_wall,1
204.8,left_wall,1
209.601,lower_wall,1
211.999,left_wall,1
216.8,lower_wall,1
230,right_wall,1
234.8,upper_wall,1
342.799,left_wall,1
345.2,upper_left,1
346.401,center_left,1
346.401,upper_left,1
347.6,upper_middle,1
350,center_middle,1
350,center_right,1
351.2,right_wall,1
352.401,lower_wall,1
362,lower_middle,1
363.2,lower_left,1
364.401,lower_wall,1
415.999,right_wall,1
417.2,lower_wall,1
417.2,right_wall,1
424.401,upper_wall,1
582.799,left_wall,1
591.2,lower_left,1
592.4,center_left,1
592.4,center_middle,1
593.6,center_right,1
594.8,lower_right,1
596,right_wall,1
597.2,lower_right,1
597.2,center_right,1
598.401,upper_right,1
598.401,upper_middle,1
599.6,upper_wall,1
606.799,left_wall,1
609.2,upper_left,1
610.401,center_middle,1
612.799,center_right,1
613.999,upper_right,1
615.2,upper_wall,1
627.2,upper_right,1
627.2,upper_middle,1
629.6,upper_left,1
630.8,center_left,1
632,lower_left,1
633.2,left_wall,1
633.2,lower_wall,1
637.999,right_wall,1
642.8,upper_wall,1
646.4,upper_right,1
651.72,END,0
