time,code,class
0,center_middle,1
1.535,upper_middle,1
2.303,upper_left,1
4.105,left_wall,1
5.639,lower_left,1
6.407,lower_middle,1
6.67,lower_wall,1
7.941,lower_right,1
8.708,lower_wall,1
13.817,left_wall,1
16.121,upper_wall,1
19.719,right_wall,1
21.518,lower_wall,1
25.092,left_wall,1
27.662,upper_wall,1
34.831,right_wall,1
37.371,lower_wall,1
47.881,left_wall,1
49.916,upper_wall,1
58.693,right_wall,1
61.761,lower_wall,1
69.198,left_wall,1
72.271,upper_wall,1
85.319,left_wall,1
88.388,lower_wall,1
93.76,lower_left,1
94.027,lower_middle,1
94.528,lower_right,1
95.562,right_wall,1
95.802,lower_wall,1
97.097,right_wall,1
99.662,upper_wall,1
104.505,left_wall,1
110.143,upper_wall,1
125.759,right_wall,1
128.329,lower_wall,1
139.34,left_wall,1
147.278,upper_left,1
148.047,upper_middle,1
149.817,upper_right,1
151.117,right_wall,1
156.751,lower_wall,1
160.06,lower_right,1
160.827,lower_wall,1
162.63,lower_right,1
163.663,center_right,1
164.43,right_wall,1
165.198,upper_wall,1
175.675,upper_middle,1
176.444,upper_left,1
176.976,center_left,1
177.742,left_wall,1
178.745,lower_wall,1
195.13,left_wall,1
196.429,lower_left,1
197.434,lower_middle,1
197.698,lower_wall,1
199.499,lower_middle,1
200.267,lower_right,1
200.505,center_right,1
201.534,upper_right,1
201.801,upper_middle,1
202.303,upper_wall,1
204.871,left_wall,1
206.406,upper_wall,1
211.779,upper_right,1
212.545,upper_middle,1
213.048,center_middle,1
213.818,lower_middle,1
214.848,lower_wall,1
217.15,lower_middle,1
217.678,lower_right,1
218.447,center_right,1
219.215,upper_right,1
220.487,right_wall,1
220.988,upper_wall,1
224.058,right_wall,1
226.126,center_right,1
226.627,upper_right,1
227.128,upper_middle,1
228.161,upper_wall,1
239.173,left_wall,1
243.777,lower_left,1
244.545,lower_wall,1
254.788,right_wall,1
271.938,center_right,1
272.44,center_middle,1
272.707,lower_middle,1
273.741,lower_left,1
274.507,lower_wall,1
275.513,left_wall,1
277.578,lower_left,1
278.607,center_left,1
280.143,lower_left,1
285.251,lower_middle,1
287.821,lower_left,1
289.089,center_middle,1
289.856,center_left,1
290.89,upper_left,1
291.391,left_wall,1
294.223,center_left,1
294.99,upper_left,1
296.263,upper_wall,1
305.208,right_wall,1
308.541,upper_right,1
309.577,upper_wall,1
321.088,upper_left,1
322.361,center_middle,1
323.151,lower_left,1
325.191,lower_wall,1
359.758,right_wall,1
360.526,lower_right,1
361.295,center_right,1
361.795,center_middle,1
362.562,center_left,1
365.132,left_wall,1
374.606,center_left,1
375.374,upper_left,1
377.913,upper_wall,1
390.458,right_wall,1
391.491,upper_wall,1
403.002,right_wall,1
409.914,lower_wall,1
489.023,left_wall,1
532.032,lower_left,1
533.566,lower_middle,1
534.094,lower_wall,1
650.082,END,0
