time,code,class
32.219,center_middle,1
33.467,center_right,1
34.701,right_wall,1
37.471,upper_wall,1
40.884,upper_left,1
42.142,center_middle,1
43.076,lower_middle,1
44.299,lower_right,1
45.551,lower_wall,1
51.418,left_wall,1
54.534,upper_wall,1
57.958,center_left,1
59.21,lower_middle,1
60.444,lower_right,1
61.394,center_right,1
62.32,right_wall,1
63.557,upper_wall,1
67.301,upper_right,1
67.91,upper_middle,1
68.536,upper_left,1
70.09,upper_wall,1
72.573,left_wall,1
75.019,lower_wall,1
77.189,lower_right,1
78.112,lower_wall,1
79.664,right_wall,1
83.385,upper_wall,1
88.645,left_wall,1
90.5,lower_wall,1
98.545,right_wall,1
103.813,upper_right,1
104.739,upper_middle,1
105.371,center_middle,1
106.314,center_left,1
107.874,lower_left,1
109.104,lower_wall,1
114.693,right_wall,1
115.615,center_right,1
116.23,upper_right,1
117.155,upper_wall,1
121.733,left_wall,1
125.127,lower_left,1
125.46,lower_wall,1
128.475,left_wall,1
134.683,upper_left,1
135.303,upper_middle,1
136.246,upper_right,1
137.504,right_wall,1
138.12,upper_wall,1
158.56,right_wall,1
161.027,lower_wall,1
167.835,left_wall,1
169.692,lower_left,1
170.938,lower_middle,1
171.547,lower_right,1
173.103,lower_wall,1
174.341,right_wall,1
178.411,upper_wall,1
181.809,upper_left,1
183.046,left_wall,1
183.351,upper_wall,1
188.314,left_wall,1
192.006,lower_wall,1
200.41,lower_right,1
201.636,lower_middle,1
203.184,lower_left,1
204.737,left_wall,1
208.775,upper_wall,1
222.466,right_wall,1
228.062,lower_wall,1
233.968,lower_middle,1
234.601,lower_right,1
235.536,center_right,1
237.084,upper_right,1
239.88,upper_wall,1
244.215,upper_middle,1
246.414,center_middle,1
249.516,lower_middle,1
250.462,center_middle,1
251.397,center_right,1
252.32,upper_right,1
254.187,center_middle,1
256.369,center_left,1
257.625,lower_left,1
258.259,left_wall,1
260.741,lower_wall,1
266.31,lower_left,1
266.934,lower_middle,1
267.249,center_middle,1
270.063,center_right,1
271.281,right_wall,1
272.537,center_right,1
273.456,lower_right,1
275.018,lower_wall,1
275.953,right_wall,1
279.386,upper_wall,1
284.018,upper_middle,1
284.651,upper_left,1
285.255,upper_wall,1
303.28,upper_left,1
304.204,center_left,1
304.517,center_middle,1
305.439,lower_middle,1
305.755,lower_right,1
306.694,lower_wall,1
311.011,lower_right,1
311.322,lower_middle,1
311.942,lower_wall,1
315.974,left_wall,1
317.829,center_left,1
318.449,upper_left,1
319.066,upper_middle,1
319.665,upper_right,1
320.92,center_right,1
321.856,right_wall,1
324.955,upper_wall,1
336.411,upper_left,1
338.267,left_wall,1
343.857,center_left,1
347.867,lower_left,1
348.784,lower_middle,1
349.745,lower_right,1
351.601,right_wall,1
352.542,lower_wall,1
361.227,lower_middle,1
362.162,lower_left,1
362.481,lower_wall,1
363.399,lower_left,1
364.335,lower_middle,1
365.265,center_middle,1
365.873,center_right,1
368.048,upper_right,1
368.966,center_right,1
369.269,center_middle,1
370.504,lower_middle,1
371.121,lower_left,1
378.588,lower_wall,1
378.907,lower_wall,1
389.487,left_wall,1
400.305,upper_left,1
401.565,upper_wall,1
410.245,right_wall,1
413.36,upper_right,1
415.857,upper_wall,1
418.757,upper_middle,1
421.193,center_middle,1
424.603,lower_middle,1
425.226,center_middle,1
435.483,center_left,1
436.737,upper_left,1
437.979,left_wall,1
438.578,upper_wall,1
450.097,upper_left,1
451.652,upper_middle,1
452.273,upper_wall,1
459.693,upper_right,1
462.493,center_right,1
463.727,right_wall,1
464.945,lower_wall,1
468.677,lower_right,1
469.296,right_wall,1
474.892,upper_right,1
478.279,upper_middle,1
479.516,upper_wall,1
480.454,upper_middle,1
481.691,center_middle,1
485.404,lower_middle,1
486.354,lower_right,1
489.122,lower_wall,1
495.628,left_wall,1
501.231,upper_wall,1
519.793,right_wall,1
525.659,upper_right,1
526.9,upper_middle,1
527.536,center_middle,1
530.607,lower_middle,1
536.176,lower_left,1
536.796,lower_wall,1
542.684,lower_middle,1
545.812,center_middle,1
546.421,center_left,1
548.294,left_wall,1
548.613,center_left,1
551.387,upper_left,1
552.326,upper_middle,1
556.336,upper_right,1
562.223,right_wall,1
563.443,upper_wall,1
582.683,upper_right,1
583.643,upper_middle,1
586.153,upper_left,1
588.016,upper_wall,1
590.49,upper_middle,1
590.79,upper_right,1
595.761,center_right,1
597.298,lower_right,1
597.93,right_wall,1
604.74,upper_wall,1
607.841,upper_middle,1
610.607,upper_left,1
610.912,upper_wall,1
627.961,upper_right,1
629.897,upper_middle,1
632.049,center_middle,1
633.306,center_left,1
634.535,left_wall,1
639.473,lower_wall,1
646.303,lower_middle,1
647.216,lower_right,1
648.154,lower_wall,1
661.509,lower_right,1
662.75,lower_middle,1
663.664,center_middle,1
664.603,upper_middle,1
665.533,upper_wall,1
673.005,right_wall,1
674.246,upper_right,1
679.196,upper_wall,1
681.051,upper_middle,1
689.755,END,0
