time,code,class
1.11,center_middle,1
1.11,center_left,1
2.2,left_wall,1
4.541,upper_wall,1
10.399,right_wall,1
15.2,lower_wall,1
23.6,left_wall,1
24.801,lower_wall,1
26,lower_left,1
28.4,left_wall,1
28.4,lower_wall,1
32,left_wall,1
36.8,upper_left,1
36.8,upper_wall,1
41.6,right_wall,1
45.2,lower_wall,1
54.801,lower_left,1
57.2,left_wall,1
59.6,lower_wall,1
65.6,left_wall,1
69.2,upper_wall,1
77.6,upper_right,1
78.8,upper_middle,1
78.8,center_middle,1
81.199,lower_middle,1
83.6,lower_left,1
86,center_left,1
87.199,center_middle,1
88.4,upper_middle,1
88.4,center_middle,1
89.6,center_left,1
90.8,lower_middle,1
92.001,lower_wall,1
95.6,right_wall,1
100.4,center_right,1
101.6,right_wall,1
107.6,upper_wall,1
117.199,upper_left,1
117.199,left_wall,1
120.801,lower_wall,1
128,right_wall,1
130.399,lower_wall,1
135.199,right_wall,1
138.801,center_right,1
140,center_middle,1
142.401,center_left,1
142.401,upper_left,1
143.6,left_wall,1
144.801,upper_wall,1
149.6,upper_middle,1
150.801,upper_right,1
153.2,right_wall,1
155.6,upper_right,1
155.6,upper_middle,1
156.8,center_middle,1
159.2,lower_middle,1
160.4,lower_wall,1
162.801,lower_middle,1
164,center_middle,1
165.199,center_left,1
165.199,left_wall,1
170.001,lower_wall,1
174.801,left_wall,1
182,center_left,1
183.199,left_wall,1
185.6,upper_wall,1
201.199,right_wall,1
204.801,upper_right,1
206.001,center_right,1
206.001,center_middle,1
207.199,center_left,1
209.6,upper_left,1
210.8,upper_wall,1
214.4,left_wall,1
218,upper_left,1
220.4,center_left,1
220.4,center_middle,1
221.6,lower_middle,1
224,lower_right,1
225.2,lower_wall,1
226.399,lower_right,1
226.399,lower_wall,1
232.4,left_wall,1
236,upper_left,1
237.199,upper_middle,1
240.8,center_middle,1
243.199,lower_middle,1
245.6,center_left,1
246.8,upper_left,1
246.8,upper_middle,1
248,upper_right,1
250.4,right_wall,1
251.6,upper_wall,1
258.801,upper_right,1
261.199,right_wall,1
262.399,lower_wall,1
268.399,right_wall,1
269.6,lower_wall,1
273.199,right_wall,1
279.2,lower_wall,1
285.199,left_wall,1
287.6,upper_wall,1
317.6,upper_middle,1
318.801,upper_wall,1
321.2,upper_middle,1
322.399,upper_left,1
323.6,center_left,1
324.801,lower_left,1
326,left_wall,1
326,lower_wall,1
328.399,lower_left,1
332.001,lower_middle,1
332.001,center_middle,1
339.2,center_right,1
340.399,right_wall,1
346.399,upper_right,1
348.801,right_wall,1
356.001,lower_wall,1
389.599,left_wall,1
390.8,upper_wall,1
398,left_wall,1
407.599,center_left,1
408.8,center_middle,1
412.401,upper_middle,1
413.599,upper_wall,1
416,upper_left,1
417.2,left_wall,1
418.4,upper_left,1
418.4,center_left,1
420.8,left_wall,1
423.201,lower_wall,1
435.201,right_wall,1
438.8,center_right,1
440,lower_right,1
442.401,lower_middle,1
444.8,center_middle,1
452,upper_middle,1
453.201,upper_left,1
459.201,center_left,1
459.201,left_wall,1
461.6,center_left,1
465.201,center_middle,1
470,center_right,1
473.599,center_middle,1
474.8,center_left,1
476,left_wall,1
482,lower_wall,1
484.4,left_wall,1
485.599,lower_left,1
485.599,lower_wall,1
495.201,right_wall,1
507.2,upper_right,1
508.4,upper_wall,1
515.599,left_wall,1
526.401,center_left,1
527.599,center_middle,1
528.8,center_right,1
531.201,upper_right,1
532.4,right_wall,1
534.8,upper_wall,1
542,upper_right,1
544.401,upper_middle,1
545.599,center_middle,1
549.2,lower_middle,1
554,lower_right,1
555.201,lower_wall,1
556.4,lower_right,1
557.599,lower_wall,1
569.6,left_wall,1
573.201,upper_wall,1
581.6,left_wall,1
585.201,upper_left,1
590,upper_wall,1
596,upper_left,1
596,upper_middle,1
598.4,center_middle,1
603.2,center_left,1
604.4,left_wall,1
606.8,center_left,1
608,lower_left,1
612.8,lower_middle,1
618.8,center_middle,1
620,center_right,1
621.201,right_wall,1
626,lower_right,1
626,center_right,1
627.2,center_middle,1
628.401,upper_middle,1
629.6,upper_right,1
642.2,END,0
