time,code,class
0.718,center_middle,1
0.763,upper_left,1
1.72,upper_wall,1
4.401,left_wall,1
5.601,lower_wall,1
8.001,lower_right,1
9.201,center_right,1
10.401,upper_right,1
11.601,upper_wall,1
16.401,left_wall,1
20,lower_wall,1
22.401,lower_right,1
23.6,right_wall,1
26,upper_wall,1
32.001,left_wall,1
34.4,center_left,1
35.601,center_middle,1
36.801,lower_middle,1
38.001,lower_right,1
38.001,lower_wall,1
39.2,right_wall,1
41.601,upper_wall,1
50.001,upper_right,1
51.2,center_middle,1
52.4,lower_middle,1
52.4,lower_left,1
53.6,lower_wall,1
54.8,left_wall,1
57.201,upper_left,1
57.201,upper_wall,1
60.801,upper_middle,1
60.801,upper_right,1
62.001,center_right,1
62.001,right_wall,1
64.399,upper_wall,1
69.199,upper_left,1
70.399,left_wall,1
71.6,lower_wall,1
76.4,right_wall,1
77.6,center_right,1
78.801,center_middle,1
80,upper_middle,1
80,upper_left,1
82.399,left_wall,1
83.6,upper_wall,1
86.001,upper_middle,1
86.001,upper_right,1
87.199,upper_middle,1
88.4,center_middle,1
88.4,lower_middle,1
89.6,lower_right,1
89.6,lower_wall,1
92.001,right_wall,1
92.001,center_right,1
93.199,upper_right,1
94.399,right_wall,1
98,upper_wall,1
101.6,upper_middle,1
102.8,center_left,1
104,lower_left,1
105.2,lower_wall,1
107.6,left_wall,1
107.6,center_left,1
108.8,center_middle,1
111.2,center_right,1
113.6,upper_right,1
113.6,upper_middle,1
116.001,upper_wall,1
120.8,left_wall,1
125.6,lower_left,1
126.801,lower_wall,1
131.6,right_wall,1
132.8,center_right,1
134,upper_right,1
134,right_wall,1
135.201,upper_wall,1
140,upper_middle,1
141.2,center_middle,1
141.2,center_right,1
141.2,center_middle,1
143.6,lower_right,1
143.6,center_middle,1
143.6,center_left,1
146,upper_left,1
146,upper_wall,1
153.201,upper_left,1
154.399,center_left,1
154.399,center_middle,1
155.6,upper_middle,1
155.6,upper_right,1
155.6,center_right,1
156.8,right_wall,1
158,lower_wall,1
160.399,right_wall,1
162.8,lower_wall,1
164,right_wall,1
166.399,lower_right,1
166.399,lower_middle,1
167.6,lower_left,1
168.8,center_left,1
168.8,upper_left,1
170,left_wall,1
173.6,lower_wall,1
179.6,lower_middle,1
179.6,center_middle,1
180.8,upper_middle,1
184.399,upper_right,1
185.6,right_wall,1
186.8,upper_wall,1
196.4,upper_middle,1
196.4,center_middle,1
198.8,center_right,1
198.8,lower_right,1
200,right_wall,1
201.2,lower_wall,1
203.6,lower_middle,1
203.6,center_middle,1
204.8,upper_middle,1
206,upper_wall,1
213.201,upper_left,1
214.399,left_wall,1
222.8,lower_left,1
224,center_left,1
224,center_middle,1
225.201,upper_middle,1
225.201,upper_right,1
225.201,upper_wall,1
234.8,upper_middle,1
236,center_middle,1
236,center_left,1
254.001,center_middle,1
261.2,center_right,1
263.6,right_wall,1
264.8,center_right,1
267.2,upper_right,1
268.399,center_middle,1
272,upper_middle,1
272,upper_left,1
273.2,upper_wall,1
275.6,left_wall,1
276.8,upper_wall,1
280.4,upper_left,1
280.4,upper_middle,1
281.601,center_middle,1
