time,code,class
0.686,center_middle,1
0.769,lower_middle,1
0.769,lower_wall,1
3.241,right_wall,1
5.6,upper_wall,1
9.2,left_wall,1
12.801,lower_wall,1
15.199,left_wall,1
17.6,upper_wall,1
22.4,right_wall,1
26,lower_wall,1
33.2,left_wall,1
35.6,upper_wall,1
40.4,upper_middle,1
41.6,upper_right,1
41.6,right_wall,1
44.001,lower_right,1
45.199,lower_wall,1
47.6,right_wall,1
50,upper_wall,1
54.8,left_wall,1
57.2,lower_wall,1
60.801,right_wall,1
63.199,upper_wall,1
72.801,right_wall,1
75.199,lower_wall,1
80.001,left_wall,1
82.4,upper_wall,1
88.4,upper_right,1
89.6,upper_middle,1
89.6,upper_left,1
90.8,left_wall,1
92.001,lower_wall,1
106.4,lower_middle,1
106.4,lower_right,1
107.6,center_right,1
108.8,right_wall,1
110,upper_wall,1
114.8,right_wall,1
117.199,upper_right,1
119.6,upper_middle,1
119.6,upper_left,1
120.8,upper_wall,1
126.801,left_wall,1
129.2,lower_wall,1
144.801,lower_left,1
144.801,lower_middle,1
146,center_middle,1
147.2,upper_middle,1
147.2,upper_wall,1
176,left_wall,1
178.4,lower_wall,1
183.2,right_wall,1
190.4,upper_wall,1
204.801,upper_left,1
215.6,upper_wall,1
219.199,upper_left,1
219.199,upper_middle,1
219.199,upper_wall,1
220.4,upper_middle,1
220.4,upper_right,1
221.6,center_right,1
221.6,right_wall,1
222.8,lower_wall,1
232.4,lower_left,1
233.6,center_left,1
234.8,upper_left,1
236.001,upper_middle,1
236.001,upper_wall,1
240.8,upper_middle,1
242.001,upper_right,1
242.001,center_right,1
243.2,right_wall,1
244.4,lower_wall,1
252.801,right_wall,1
254,lower_wall,1
258.8,lower_right,1
258.8,lower_middle,1
260.001,lower_wall,1
261.2,lower_left,1
262.4,lower_wall,1
267.199,left_wall,1
270.801,upper_wall,1
297.199,right_wall,1
303.199,upper_right,1
303.199,upper_wall,1
314.001,right_wall,1
320.001,lower_right,1
321.199,lower_wall,1
346.4,left_wall,1
360.801,upper_wall,1
364.4,right_wall,1
366.8,upper_right,1
368.001,upper_wall,1
374.001,upper_left,1
374.001,center_left,1
375.199,center_middle,1
375.199,center_right,1
376.4,right_wall,1
380.001,upper_wall,1
386.001,upper_middle,1
387.2,center_middle,1
388.4,lower_left,1
388.4,lower_wall,1
392.001,left_wall,1
394.4,upper_wall,1
428.001,upper_left,1
430.4,upper_middle,1
430.4,center_middle,1
431.6,center_right,1
431.6,lower_right,1
432.801,lower_wall,1
442.4,right_wall,1
449.6,center_right,1
449.6,upper_right,1
449.6,upper_middle,1
449.6,upper_wall,1
453.199,right_wall,1
460.4,lower_wall,1
467.6,left_wall,1
476.001,upper_left,1
477.199,upper_wall,1
482.001,upper_right,1
482.001,right_wall,1
490.4,lower_wall,1
497.6,lower_right,1
497.6,lower_middle,1
498.8,lower_left,1
500.001,left_wall,1
503.6,upper_left,1
504.8,upper_wall,1
506,upper_right,1
507.2,upper_wall,1
508.4,right_wall,1
510.801,upper_right,1
512,center_right,1
512,lower_right,1
513.2,lower_wall,1
521.6,left_wall,1
524,lower_left,1
524,center_left,1
525.2,upper_left,1
525.2,upper_middle,1
525.2,upper_right,1
528.8,center_right,1
530,lower_right,1
532.4,right_wall,1
532.4,lower_wall,1
537.199,right_wall,1
539.6,upper_wall,1
572.001,upper_middle,1
572.001,upper_left,1
573.2,left_wall,1
579.199,lower_wall,1
588.801,lower_middle,1
590.002,lower_right,1
590.002,center_right,1
591.2,right_wall,1
591.2,upper_right,1
592.4,upper_wall,1
597.2,upper_right,1
597.2,upper_wall,1
599.6,upper_middle,1
600.8,center_middle,1
604.4,lower_left,1
605.6,center_left,1
608,upper_left,1
610.4,center_left,1
610.4,center_middle,1
612.8,lower_middle,1
615.199,lower_wall,1
627.199,right_wall,1
632,upper_wall,1
644,left_wall,1
648.801,lower_wall,1
663.96,END,0
