time,code,class
34.864,center_middle,1
35.869,upper_middle,1
37.935,upper_left,1
38.703,upper_wall,1
41.775,left_wall,1
44.317,lower_left,1
45.082,lower_wall,1
46.618,lower_middle,1
46.881,lower_wall,1
48.415,right_wall,1
50.218,upper_right,1
51.247,upper_wall,1
52.253,upper_middle,1
53.552,upper_left,1
54.319,left_wall,1
56.623,lower_left,1
57.124,lower_wall,1
60.46,right_wall,1
62.496,upper_right,1
63.792,upper_wall,1
66.601,left_wall,1
69.403,lower_wall,1
73.006,right_wall,1
76.321,upper_wall,1
81.242,left_wall,1
84.051,center_left,1
85.083,lower_middle,1
86.086,lower_right,1
87.12,right_wall,1
87.625,lower_wall,1
94.299,left_wall,1
96.363,upper_wall,1
104.037,right_wall,1
106.34,lower_wall,1
110.682,left_wall,1
114.015,upper_wall,1
119.386,right_wall,1
121.188,lower_wall,1
125.531,left_wall,1
127.327,upper_wall,1
132.463,right_wall,1
134.768,lower_wall,1
140.14,left_wall,1
141.936,upper_wall,1
152.159,upper_right,1
152.687,right_wall,1
158.826,upper_wall,1
169.574,upper_left,1
170.075,left_wall,1
172.138,lower_wall,1
178.279,right_wall,1
180.315,upper_wall,1
188.023,left_wall,1
191.621,lower_wall,1
194.929,right_wall,1
197.232,upper_wall,1
203.137,left_wall,1
206.974,lower_wall,1
212.346,right_wall,1
214.915,upper_wall,1
226.96,left_wall,1
231.302,center_left,1
231.833,lower_left,1
232.333,lower_middle,1
233.1,lower_right,1
234.135,lower_wall,1
236.463,right_wall,1
239.774,upper_right,1
240.541,upper_middle,1
241.055,upper_wall,1
248.22,left_wall,1
249.249,upper_left,1
249.516,left_wall,1
250.522,lower_wall,1
260.265,right_wall,1
261.796,lower_wall,1
263.067,lower_middle,1
263.84,center_middle,1
264.097,center_left,1
264.865,upper_left,1
265.633,left_wall,1
266.399,upper_wall,1
283.087,left_wall,1
285.386,center_left,1
286.153,lower_left,1
287.188,lower_wall,1
289.222,left_wall,1
290.758,lower_wall,1
296.663,right_wall,1
299.733,lower_wall,1
303.066,lower_left,1
304.072,left_wall,1
304.602,lower_wall,1
305.105,left_wall,1
308.943,lower_wall,1
312.013,left_wall,1
314.582,upper_wall,1
326.359,upper_right,1
328.662,right_wall,1
330.964,lower_wall,1
332.499,lower_right,1
333.514,center_right,1
334.298,upper_right,1
335.067,upper_middle,1
335.569,upper_wall,1
341.708,upper_middle,1
342.743,center_left,1
343.51,left_wall,1
346.314,upper_left,1
346.842,upper_middle,1
347.348,upper_right,1
349.649,right_wall,1
350.682,upper_wall,1
351.686,right_wall,1
355.288,center_right,1
356.057,lower_right,1
356.823,lower_wall,1
360.135,left_wall,1
363.226,upper_wall,1
369.605,right_wall,1
373.707,upper_right,1
374.214,upper_wall,1
375.509,upper_right,1
376.276,upper_middle,1
376.776,center_middle,1
381.648,center_left,1
383.685,lower_left,1
383.95,lower_middle,1
384.453,center_middle,1
388.295,upper_middle,1
389.063,upper_wall,1
391.892,upper_middle,1
392.154,center_middle,1
393.691,lower_middle,1
395.226,lower_wall,1
413.914,lower_left,1
414.681,center_middle,1
415.448,upper_middle,1
415.687,upper_right,1
417.222,right_wall,1
417.989,upper_wall,1
426.194,upper_left,1
427.727,center_left,1
427.995,left_wall,1
429.263,lower_wall,1
435.163,right_wall,1
436.436,center_right,1
437.467,upper_right,1
441.542,upper_middle,1
442.577,center_middle,1
443.61,lower_middle,1
444.879,lower_left,1
448.215,left_wall,1
449.223,lower_wall,1
456.657,right_wall,1
459.462,upper_wall,1
463.063,upper_right,1
464.839,center_right,1
466.633,lower_right,1
467.147,center_right,1
467.4,center_middle,1
468.435,upper_left,1
469.467,upper_wall,1
475.343,left_wall,1
479.179,lower_left,1
479.686,lower_wall,1
485.351,lower_middle,1
485.616,lower_right,1
486.383,center_right,1
486.887,upper_right,1
487.387,upper_middle,1
487.92,upper_wall,1
492.525,left_wall,1
493.294,upper_left,1
496.096,left_wall,1
496.863,upper_left,1
