time,code,class
0.657,center_middle,1
0.705,lower_middle,1
2,lower_right,1
3.201,center_right,1
3.201,right_wall,1
4.401,lower_wall,1
8,left_wall,1
11.6,upper_left,1
12.8,upper_wall,1
17.6,right_wall,1
20.001,lower_wall,1
24.8,left_wall,1
28.401,upper_wall,1
32,upper_middle,1
32,upper_right,1
33.201,upper_wall,1
35.601,right_wall,1
36.801,upper_right,1
38.001,center_right,1
38.001,center_middle,1
38.001,lower_middle,1
39.2,lower_left,1
40.401,left_wall,1
40.401,lower_wall,1
42.801,lower_left,1
42.801,lower_middle,1
44.001,center_middle,1
44.001,center_right,1
45.2,right_wall,1
47.6,lower_right,1
47.6,center_right,1
47.6,center_middle,1
48.8,upper_left,1
51.2,left_wall,1
51.2,upper_wall,1
56.962,left_wall,1
59.601,center_left,1
60.8,upper_left,1
60.8,upper_middle,1
61.999,upper_wall,1
65.601,right_wall,1
67.999,lower_right,1
67.999,lower_wall,1
73.999,lower_middle,1
75.2,center_middle,1
75.2,center_right,1
76.401,upper_right,1
78.799,right_wall,1
78.799,upper_right,1
79.999,upper_wall,1
97.999,right_wall,1
101.6,center_right,1
101.6,center_middle,1
103.999,lower_left,1
105.2,left_wall,1
106.4,lower_wall,1
108.799,left_wall,1
113.601,upper_left,1
113.601,left_wall,1
119.601,upper_left,1
119.601,upper_wall,1
125.601,left_wall,1
127.999,upper_left,1
129.2,center_left,1
129.2,center_middle,1
131.601,lower_right,1
132.799,center_right,1
135.2,upper_right,1
135.2,right_wall,1
137.6,upper_wall,1
142.401,right_wall,1
144.8,upper_right,1
145.999,upper_wall,1
147.2,upper_middle,1
148.4,center_middle,1
150.799,lower_middle,1
152,lower_wall,1
158,left_wall,1
160.4,upper_wall,1
172.4,right_wall,1
175.999,lower_wall,1
178.4,right_wall,1
179.6,center_right,1
180.799,center_middle,1
181.999,center_left,1
184.4,left_wall,1
185.601,upper_left,1
185.601,upper_middle,1
188,upper_right,1
189.2,center_right,1
191.6,upper_middle,1
193.999,upper_wall,1
196.4,left_wall,1
203.601,lower_wall,1
207.2,lower_left,1
208.4,center_left,1
209.601,upper_left,1
213.2,center_left,1
215.601,center_middle,1
216.799,center_right,1
217.999,right_wall,1
220.4,lower_right,1
226.401,lower_middle,1
227.601,lower_wall,1
236,center_middle,1
237.2,center_right,1
237.2,lower_right,1
238.4,lower_wall,1
240.8,right_wall,1
314,lower_right,1
321.2,center_right,1
326,center_middle,1
326,center_left,1
328.401,left_wall,1
328.401,upper_wall,1
348.8,right_wall,1
351.2,upper_wall,1
363.2,upper_middle,1
364.4,center_left,1
366.799,left_wall,1
368,lower_wall,1
372.8,right_wall,1
378.8,upper_wall,1
383.6,right_wall,1
384.799,upper_wall,1
387.2,upper_right,1
395.601,upper_wall,1
400.401,left_wall,1
408.8,center_left,1
408.8,upper_left,1
410,center_middle,1
411.2,lower_right,1
412.401,right_wall,1
414.8,upper_right,1
417.2,upper_middle,1
417.2,upper_wall,1
420.8,upper_left,1
423.2,center_left,1
423.2,left_wall,1
424.4,lower_left,1
424.4,lower_wall,1
427.999,right_wall,1
432.799,lower_right,1
432.799,lower_wall,1
434,lower_right,1
435.2,right_wall,1
438.799,upper_wall,1
447.2,left_wall,1
449.601,lower_wall,1
454.4,lower_right,1
454.4,right_wall,1
462.799,lower_wall,1
465.2,right_wall,1
477.2,lower_right,1
481.999,lower_middle,1
481.999,lower_left,1
484.401,center_left,1
484.401,center_middle,1
487.999,upper_left,1
487.999,upper_middle,1
489.2,center_middle,1
491.601,center_right,1
492.799,lower_right,1
494,right_wall,1
498.799,upper_right,1
501.201,center_right,1
501.201,right_wall,1
510.799,lower_wall,1
516.8,left_wall,1
517.999,upper_left,1
519.2,upper_wall,1
528.8,upper_middle,1
530,upper_left,1
533.601,left_wall,1
547.999,center_left,1
547.999,center_middle,1
549.2,center_right,1
550.401,lower_right,1
551.6,right_wall,1
551.6,lower_wall,1
552.8,right_wall,1
557.601,upper_wall,1
564.8,upper_right,1
566,right_wall,1
568.401,lower_wall,1
586.4,left_wall,1
587.6,lower_left,1
588.8,lower_middle,1
590,center_middle,1
597.2,center_right,1
598.401,lower_right,1
599.6,right_wall,1
615.2,center_right,1
617.601,right_wall,1
632,center_right,1
632,lower_right,1
632,right_wall,1
633.2,lower_wall,1
652.84,END,0
