time,code,class
17.951,center_middle,1
18.719,center_left,1
20.02,left_wall,1
20.788,lower_wall,1
23.859,right_wall,1
26.427,upper_right,1
27.194,upper_wall,1
29.498,left_wall,1
30,upper_wall,1
33.337,right_wall,1
35.136,lower_wall,1
38.706,left_wall,1
41.541,upper_wall,1
45.914,right_wall,1
48.454,lower_wall,1
50.25,right_wall,1
51.286,center_right,1
53.082,right_wall,1
53.85,upper_right,1
54.354,upper_wall,1
55.387,upper_left,1
56.392,center_left,1
57.424,lower_left,1
58.46,lower_wall,1
61.261,right_wall,1
65.37,upper_right,1
66.927,upper_wall,1
73.839,left_wall,1
75.876,lower_wall,1
80.481,right_wall,1
83.35,upper_wall,1
88.456,upper_right,1
89.489,center_right,1
90.757,lower_right,1
91.526,right_wall,1
92.058,lower_wall,1
96.396,left_wall,1
98.966,upper_wall,1
105.371,right_wall,1
108.379,lower_wall,1
117.615,lower_left,1
118.12,left_wall,1
120.687,upper_wall,1
124.763,upper_middle,1
125.53,upper_wall,1
127.836,right_wall,1
130.16,upper_wall,1
137.571,left_wall,1
139.61,lower_wall,1
144.485,right_wall,1
148.882,lower_right,1
150.919,right_wall,1
151.45,lower_wall,1
152.454,right_wall,1
155.528,upper_wall,1
213.714,left_wall,1
217.551,upper_left,1
219.153,center_middle,1
220.753,upper_middle,1
221.061,center_middle,1
222.662,center_right,1
223.958,lower_right,1
223.958,lower_middle,1
224.592,center_middle,1
226.827,upper_middle,1
227.794,center_middle,1
229.061,lower_middle,1
229.395,lower_right,1
230.03,lower_wall,1
235.469,lower_right,1
236.437,right_wall,1
238.342,lower_right,1
239.004,center_right,1
240.273,center_middle,1
241.24,center_left,1
241.876,lower_left,1
245.381,lower_wall,1
246.679,lower_left,1
248.582,lower_middle,1
249.226,lower_left,1
250.825,left_wall,1
261.06,upper_left,1
261.723,upper_middle,1
262.361,upper_right,1
263.302,upper_wall,1
267.467,right_wall,1
273.874,lower_wall,1
282.82,right_wall,1
284.75,center_right,1
285.719,upper_right,1
286.667,upper_wall,1
302.668,left_wall,1
306.507,lower_wall,1
321.861,lower_middle,1
322.188,lower_right,1
322.823,lower_wall,1
326.993,lower_right,1
327.303,right_wall,1
330.83,upper_wall,1
343.642,left_wall,1
348.749,upper_left,1
349.382,left_wall,1
350.683,lower_wall,1
362.194,right_wall,1
366.667,upper_wall,1
378.842,left_wall,1
381.715,upper_wall,1
402.201,left_wall,1
414.682,lower_wall,1
592.26,left_wall,1
593.225,lower_wall,1
637.403,END,0
