time,code,class
23.557,center_middle,1
25.594,lower_left,1
26.864,lower_wall,1
28.401,left_wall,1
32.262,upper_wall,1
39.409,right_wall,1
42.481,lower_wall,1
48.116,left_wall,1
51.185,upper_wall,1
56.056,upper_right,1
56.824,right_wall,1
59.632,lower_wall,1
71.173,right_wall,1
73.208,upper_right,1
73.974,upper_wall,1
81.316,left_wall,1
84.519,lower_wall,1
90.289,lower_right,1
91.227,right_wall,1
91.888,lower_wall,1
96.667,lower_right,1
98.265,center_middle,1
99.868,center_left,1
101.802,left_wall,1
102.769,upper_wall,1
109.809,left_wall,1
112.047,lower_wall,1
126.427,left_wall,1
132.833,upper_wall,1
138.605,upper_right,1
139.876,center_right,1
140.509,right_wall,1
141.808,lower_wall,1
151.085,left_wall,1
157.157,lower_wall,1
164.199,lower_middle,1
164.833,lower_right,1
165.8,center_middle,1
166.433,upper_middle,1
168.368,upper_wall,1
171.238,left_wall,1
179.545,lower_left,1
180.208,lower_wall,1
184.685,left_wall,1
188.522,upper_wall,1
191.726,upper_left,1
194.267,center_left,1
195.865,center_middle,1
196.83,center_right,1
197.798,lower_right,1
198.765,right_wall,1
199.399,lower_wall,1
201.636,right_wall,1
210.911,upper_wall,1
222.426,left_wall,1
225.959,lower_wall,1
235.235,right_wall,1
240.675,upper_wall,1
250.285,left_wall,1
252.52,lower_wall,1
284.188,right_wall,1
285.786,lower_right,1
286.448,right_wall,1
288.989,center_right,1
290.289,center_middle,1
291.558,center_left,1
293.467,center_middle,1
295.068,lower_middle,1
296.031,lower_right,1
296.667,lower_wall,1
300.2,right_wall,1
303.07,center_right,1
305.005,center_middle,1
307.547,upper_right,1
310.444,upper_middle,1
311.409,upper_wall,1
316.518,left_wall,1
318.119,lower_wall,1
326.427,lower_left,1
326.761,lower_middle,1
328.029,lower_right,1
329.63,right_wall,1
337.638,lower_wall,1
344.678,left_wall,1
348.849,lower_wall,1
360.074,lower_left,1
360.708,left_wall,1
362.642,upper_wall,1
366.48,upper_middle,1
367.748,center_middle,1
370.624,center_left,1
372.553,center_middle,1
374.155,center_right,1
374.789,lower_right,1
375.756,lower_wall,1
385.364,left_wall,1
387.903,upper_wall,1
391.743,upper_left,1
395.604,upper_middle,1
398.783,upper_right,1
400.715,right_wall,1
406.152,upper_wall,1
416.397,upper_right,1
417.365,upper_middle,1
417.999,upper_left,1
419.265,upper_wall,1
420.565,left_wall,1
422.164,lower_wall,1
429.509,right_wall,1
435.281,upper_wall,1
438.152,upper_middle,1
439.118,upper_left,1
439.754,center_left,1
440.726,lower_left,1
442.987,lower_wall,1
450.329,left_wall,1
457.704,center_left,1
460.573,lower_middle,1
461.541,lower_right,1
464.745,lower_wall,1
504.418,left_wall,1
515.627,lower_wall,1
563.944,left_wall,1
565.845,lower_wall,1
570.983,lower_left,1
571.924,center_left,1
572.886,upper_left,1
573.853,upper_wall,1
576.422,right_wall,1
583.765,upper_right,1
585.064,upper_middle,1
586.332,upper_left,1
587.3,upper_wall,1
588.902,left_wall,1
591.465,lower_wall,1
594.34,lower_left,1
595.307,center_left,1
596.244,upper_left,1
597.21,upper_wall,1
604.25,upper_middle,1
606.185,upper_right,1
607.124,center_right,1
607.785,right_wall,1
609.055,lower_wall,1
733.546,END,0
