time,code,class
0,stimulus_introduction,1
4.336,neutral,1
28.928,positive_investigation,1
69.631,allogrooming,1
79.084,positive_investigation,1
111.343,neutral,1
124.397,positive_investigation,1
130.031,neutral,1
145.387,positive_side_by_side_contact,1
171.503,positive_investigation,1
173.806,positive_side_by_side_contact,1
182.515,neutral,1
200.172,positive_investigation,1
282.618,neutral,1
298.998,positive_investigation,1
325.628,positive_side_by_side_contact,1
331.264,positive_investigation,1
340.476,neutral,1
352.149,positive_investigation,1
375.943,neutral,1
390.53,positive_investigation,1
394.897,positive_side_by_side_contact,1
397.701,positive_investigation,1
408.978,neutral,1
441.744,positive_investigation,1
446.346,positive_side_by_side_contact,1
449.154,positive_investigation,1
452.994,neutral,1
462.728,positive_investigation,1
467.333,neutral,1
552.585,positive_investigation,1
556.422,positive_side_by_side_contact,1
567.701,positive_investigation,1
573.075,neutral,1
577.414,positive_side_by_side_contact,1
582.018,positive_investigation,1
586.388,neutral,1
744.902,END,0
