time,code,class
0,stimulus_introduction,1
1.536,neutral,1
154.121,positive_investigation,1
161.529,neutral,1
177.166,positive_investigation,1
188.688,neutral,1
229.734,positive_side_by_side_contact,1
235.632,neutral,1
387.623,positive_investigation,1
390.695,positive_side_by_side_contact,1
393.765,neutral,1
428.429,positive_investigation,1
437.1,neutral,1
453.451,positive_investigation,1
459.459,allogrooming,1
475.281,positive_investigation,1
480.378,positive_side_by_side_contact,1
490.091,positive_investigation,1
506.342,allogrooming,1
517.586,positive_investigation,1
533.437,positive_investigation,1
548.712,neutral,1
558.925,positive_investigation,1
581.35,positive_side_by_side_contact,1
651.382,positive_investigation,1
698.297,neutral,1
775.276,positive_investigation,1
781.912,neutral,1
799.533,END,0
