time,code,class
0,stimulus_introduction,1
1.497,positive_investigation,1
3.266,positive_side_by_side_contact,1
4.301,positive_investigation,1
15.315,positive_side_by_side_contact,1
19.916,positive_investigation,1
46.544,neutral,1
53.189,positive_investigation,1
80.346,positive_side_by_side_contact,1
85.92,neutral,1
90.788,positive_investigation,1
94.126,positive_side_by_side_contact,1
107.439,positive_investigation,1
120.75,positive_side_by_side_contact,1
127.898,positive_investigation,1
137.903,neutral,1
169.134,positive_side_by_side_contact,1
181.412,positive_investigation,1
192.927,neutral,1
233.37,positive_investigation,1
242.607,positive_side_by_side_contact,1
249.248,positive_investigation,1
263.834,positive_side_by_side_contact,1
265.389,positive_investigation,1
270.471,positive_side_by_side_contact,1
273.303,rearing,1
278.676,positive_side_by_side_contact,1
283.283,rearing,1
284.049,positive_side_by_side_contact,1
287.385,neutral,1
315.015,positive_investigation,1
332.429,positive_side_by_side_contact,1
334.73,positive_investigation,1
347.545,neutral,1
358.553,positive_side_by_side_contact,1
362.892,positive_investigation,1
365.194,positive_side_by_side_contact,1
374.406,positive_investigation,1
410.506,neutral,1
450.182,positive_side_by_side_contact,1
460.121,neutral,1
482.515,positive_side_by_side_contact,1
485.079,positive_investigation,1
490.186,neutral,1
500.76,positive_side_by_side_contact,1
512.278,neutral,1
521.88,positive_side_by_side_contact,1
544.277,positive_side_by_side_contact,1
549.382,positive_investigation,1
553.221,neutral,1
561.559,positive_side_by_side_contact,1
564.426,positive_investigation,1
565.701,neutral,1
581.982,positive_side_by_side_contact,1
585.819,neutral,1
619.752,positive_side_by_side_contact,1
641.197,positive_investigation,1
645.344,positive_side_by_side_contact,1
674.778,neutral,1
701.999,huddling,1
754.439,END,0
