time,code,class
0,stimulus_introduction,1
2.301,neutral,1
39.41,positive_investigation,1
61.693,neutral,1
74.307,positive_side_by_side_contact,1
80.05,positive_investigation,1
89.349,neutral,1
109.172,positive_side_by_side_contact,1
129.025,positive_investigation,1
202.933,allogrooming,1
218.289,neutral,1
293.322,positive_side_by_side_contact,1
301.639,neutral,1
343.576,positive_investigation,1
360.859,neutral,1
365.639,positive_investigation,1
373.338,neutral,1
402.134,positive_investigation,1
412.681,neutral,1
557.958,positive_investigation,1
574.279,neutral,1
593.818,positive_side_by_side_contact,1
601.499,neutral,1
631.259,positive_investigation,1
642.14,allogrooming,1
660.689,neutral,1
752.804,END,0
