time,code,class
0,stimulus_introduction,1
3.536,positive_investigation,1
12.175,neutral,1
19.216,positive_side_by_side_contact,1
26.89,positive_investigation,1
39.371,neutral,1
49.283,positive_side_by_side_contact,1
55.686,neutral,1
62.726,positive_investigation,1
76.806,neutral,1
95.058,positive_side_by_side_contact,1
117.447,positive_investigation,1
126.09,neutral,1
140.17,positive_side_by_side_contact,1
157.124,positive_investigation,1
179.539,neutral,1
212.812,positive_investigation,1
227.527,neutral,1
285.779,positive_investigation,1
293.458,neutral,1
416.015,positive_investigation,1
437.767,neutral,1
493.458,positive_investigation,1
495.695,neutral,1
612.48,positive_investigation,1
624.324,neutral,1
729.595,positive_side_by_side_contact,1
734.683,END,0
