time,code,class
0,stimulus_introduction,1
6.383,positive_investigation,1
16.627,neutral,1
21.229,positive_investigation,1
28.928,neutral,1
33.537,positive_investigation,1
37.613,positive_side_by_side_contact,1
38.644,neutral,1
46.316,positive_side_by_side_contact,1
50.659,neutral,1
60.903,positive_side_by_side_contact,1
73.951,neutral,1
78.82,positive_side_by_side_contact,1
82.393,neutral,1
83.422,positive_investigation,1
100.313,neutral,1
109.284,positive_investigation,1
125.165,neutral,1
136.679,positive_side_by_side_contact,1
141.549,positive_investigation,1
182.259,positive_side_by_side_contact,1
188.163,positive_investigation,1
196.097,neutral,1
215.658,positive_investigation,1
225.632,neutral,1
311.916,positive_investigation,1
328.538,neutral,1
363.035,positive_investigation,1
368.172,positive_side_by_side_contact,1
372.883,positive_investigation,1
388.227,neutral,1
451.991,huddling,1
464.04,neutral,1
474.28,positive_investigation,1
478.622,neutral,1
570.54,positive_investigation,1
574.882,positive_side_by_side_contact,1
586.157,positive_investigation,1
589.466,neutral,1
643.287,positive_side_by_side_contact,1
656.601,allogrooming,1
660.699,positive_investigation,1
665.068,neutral,1
754.997,END,0
