time,code,class
0,stimulus_introduction,1
2.042,positive_investigation,1
17.659,neutral,1
34.808,positive_side_by_side_contact,1
59.132,positive_investigation,1
88.56,positive_side_by_side_contact,1
100.846,positive_investigation,1
114.157,neutral,1
135.411,positive_investigation,1
150.016,neutral,1
167.937,positive_side_by_side_contact,1
178.416,positive_investigation,1
184.825,neutral,1
208.621,positive_investigation,1
224.495,neutral,1
296.434,positive_investigation,1
307.713,neutral,1
447.488,positive_side_by_side_contact,1
448.752,positive_investigation,1
450.048,neutral,1
560.635,positive_investigation,1
567.808,neutral,1
718.779,END,0
