time,code,class
0,stimulus_introduction,1
3.837,neutral,1
11.781,positive_investigation,1
18.685,positive_side_by_side_contact,1
26.893,positive_investigation,1
28.666,positive_side_by_side_contact,1
34.039,rearing,1
41.212,positive_investigation,1
44.547,positive_side_by_side_contact,1
57.86,positive_investigation,1
105.21,positive_side_by_side_contact,1
118.787,positive_investigation,1
250.253,rearing,1
255.357,positive_investigation,1
277.379,neutral,1
296.524,positive_investigation,1
303.437,neutral,1
319.554,positive_investigation,1
349.25,neutral,1
364.099,positive_investigation,1
383.16,neutral,1
386.253,positive_investigation,1
390.092,positive_side_by_side_contact,1
392.396,positive_investigation,1
423.493,positive_side_by_side_contact,1
426.936,positive_investigation,1
437.308,neutral,1
443.08,positive_investigation,1
451.896,neutral,1
471.104,positive_investigation,1
508.346,neutral,1
526.261,positive_investigation,1
534.309,neutral,1
546.614,positive_investigation,1
556.196,neutral,1
578.082,positive_investigation,1
580.683,allogrooming,1
587.988,positive_investigation,1
594.129,allogrooming,1
602.575,neutral,1
612.946,positive_investigation,1
621.792,neutral,1
653.653,positive_investigation,1
662.099,neutral,1
682.851,positive_investigation,1
700.108,neutral,1
711.248,positive_investigation,1
717.39,neutral,1
725.069,positive_investigation,1
733.137,neutral,1
738.141,positive_investigation,1
740.046,neutral,1
752.341,END,0
