time,code,class
0,stimulus_introduction,1
1.777,neutral,1
29.696,positive_investigation,1
33.274,positive_side_by_side_contact,1
43.252,positive_investigation,1
68.845,positive_side_by_side_contact,1
75.715,positive_investigation,1
112.086,neutral,1
117.956,positive_investigation,1
126.669,neutral,1
140.246,positive_investigation,1
158.403,neutral,1
191.699,positive_investigation,1
204.48,positive_side_by_side_contact,1
215.254,neutral,1
249.56,positive_investigation,1
254.167,neutral,1
306.011,positive_investigation,1
322.527,neutral,1
738.865,END,0
