time,code,class
0,stimulus_introduction,1
1.535,neutral,1
11.779,being_chased,1
18.95,positive_investigation,1
20.988,positive_side_by_side_contact,1
28.663,positive_investigation,1
32.764,positive_side_by_side_contact,1
34.802,positive_investigation,1
54.255,neutral,1
79.611,positive_investigation,1
82.418,allogrooming,1
87.812,positive_side_by_side_contact,1
96.761,positive_investigation,1
107.269,positive_side_by_side_contact,1
120.153,neutral,1
124.759,positive_investigation,1
130.894,neutral,1
136.793,positive_investigation,1
142.41,allogrooming,1
146.248,positive_investigation,1
153.946,neutral,1
195.929,positive_investigation,1
199.767,positive_side_by_side_contact,1
210.009,neutral,1
263.763,positive_investigation,1
282.181,neutral,1
295.726,positive_investigation,1
300.1,positive_side_by_side_contact,1
307.504,neutral,1
309.808,positive_investigation,1
311.344,positive_side_by_side_contact,1
316.207,neutral,1
323.12,positive_investigation,1
329.759,neutral,1
342.044,positive_investigation,1
347.678,positive_side_by_side_contact,1
355.888,positive_investigation,1
371.235,allogrooming,1
379.68,neutral,1
388.655,positive_side_by_side_contact,1
396.328,positive_investigation,1
408.609,neutral,1
423.215,positive_investigation,1
431.664,huddling,1
443.439,positive_side_by_side_contact,1
446.746,positive_investigation,1
460.059,neutral,1
501.034,positive_investigation,1
517.68,neutral,1
537.903,positive_investigation,1
549.413,neutral,1
625.457,positive_investigation,1
628.261,positive_side_by_side_contact,1
629.767,being_chased,1
679.18,aggressive_investigation,1
682.011,being_chased,1
696.09,aggressive_investigation,1
709.644,being_chased,1
716.315,aggressive_investigation,1
718.617,neutral,1
729.864,aggressive_investigation,1
743.944,neutral,1
770.856,END,0
