time,code,class
0,stimulus_introduction,1
2.567,positive_investigation,1
25.855,neutral,1
26.125,neutral,1
72.462,positive_investigation,1
105.736,positive_side_by_side_contact,1
114.684,positive_investigation,1
118.018,positive_side_by_side_contact,1
131.327,neutral,1
145.678,neutral,1
162.059,positive_investigation,1
173.071,neutral,1
200.701,positive_investigation,1
211.778,rearing,1
216.911,positive_investigation,1
219.216,rearing,1
225.354,positive_investigation,1
228.686,rearing,1
231.494,positive_investigation,1
234.064,positive_side_by_side_contact,1
244.043,positive_investigation,1
260.16,neutral,1
334.158,positive_investigation,1
368.702,neutral,1
516.175,positive_investigation,1
583.311,biting,1
583.68,chasing,1
585.214,rearing,1
587.516,aggressive_investigation,1
615.545,neutral,1
626.557,rearing,1
628.623,aggressive_investigation,1
635.771,neutral,1
815.537,END,0
