time,code,class
0,stimulus_introduction,1
2.068,neutral,1
7.147,positive_investigation,1
13.778,neutral,1
18.879,positive_investigation,1
22.424,positive_side_by_side_contact,1
32.132,positive_investigation,1
40.838,neutral,1
48.512,positive_investigation,1
63.274,positive_side_by_side_contact,1
75.505,neutral,1
87.252,positive_investigation,1
105.537,neutral,1
111.148,positive_investigation,1
114.745,positive_side_by_side_contact,1
118.847,positive_investigation,1
142.81,positive_side_by_side_contact,1
153.049,positive_investigation,1
158.125,neutral,1
186.156,positive_investigation,1
190.251,neutral,1
208.441,positive_investigation,1
240.54,positive_side_by_side_contact,1
242.582,positive_investigation,1
247.181,neutral,1
276.21,positive_investigation,1
280.81,neutral,1
319.02,positive_investigation,1
322.618,allogrooming,1
333.866,positive_side_by_side_contact,1
345.047,positive_investigation,1
355.251,neutral,1
382.379,positive_investigation,1
392.917,neutral,1
398.796,pinning,1
405.706,being_chased,1
414.678,neutral,1
417.218,aggressive_investigation,1
421.316,being_chased,1
425.926,neutral,1
407.638,being_chased,1
413.51,neutral,1
420.181,being_chased,1
426.562,neutral,1
443.977,being_chased,1
461.223,biting,1
462.231,biting,1
467.1,aggressive_investigation,1
471.202,neutral,1
478.377,being_chased,1
484.251,neutral,1
517.784,aggressive_investigation,1
525.959,being_chased,1
529.558,chasing,1
531.094,being_chased,1
534.532,neutral,1
568.631,being_chased,1
574.005,neutral,1
594.991,being_chased,1
602.669,neutral,1
681.517,aggressive_investigation,1
696.127,being_chased,1
700.204,neutral,1
741.126,END,0
