time,code,class
0,stimulus_introduction,1
2.405,neutral,1
11.123,positive_investigation,1
14.294,positive_side_by_side_contact,1
19.294,positive_investigation,1
20.998,positive_side_by_side_contact,1
24.5,positive_investigation,1
46.658,positive_side_by_side_contact,1
54.094,huddling,1
80.91,positive_investigation,1
98.445,allogrooming,1
107.951,positive_side_by_side_contact,1
112.016,neutral,1
133.737,positive_investigation,1
138.607,neutral,1
150.39,positive_investigation,1
157.175,neutral,1
160.436,positive_investigation,1
164.738,neutral,1
183.022,positive_investigation,1
209.45,neutral,1
250.995,positive_investigation,1
253.994,neutral,1
255.892,positive_investigation,1
260.438,neutral,1
267.175,positive_investigation,1
269.879,neutral,1
299.099,positive_investigation,1
301.277,neutral,1
337.764,positive_investigation,1
340.703,neutral,1
341.515,positive_investigation,1
344.925,neutral,1
369.569,positive_investigation,1
371.272,neutral,1
380.276,positive_investigation,1
382.326,neutral,1
388.301,positive_investigation,1
389.84,neutral,1
405.153,positive_investigation,1
407.004,neutral,1
444.078,positive_investigation,1
446.326,neutral,1
482.017,positive_investigation,1
483.586,neutral,1
489.203,positive_investigation,1
492.001,neutral,1
517.367,positive_investigation,1
520.487,neutral,1
523.209,positive_investigation,1
539.365,neutral,1
685.631,END,0
