time,code,class
0,stimulus_introduction,1
1.398,neutral,1
62.139,positive_investigation,1
70.03,neutral,1
73.464,positive_investigation,1
93.624,neutral,1
111.668,positive_investigation,1
113.737,neutral,1
115.221,positive_investigation,1
137.943,neutral,1
152.25,positive_investigation,1
163.022,neutral,1
180.837,positive_investigation,1
194.631,allogrooming,1
200.007,positive_investigation,1
207.552,allogrooming,1
209.849,positive_investigation,1
234.666,neutral,1
251.275,positive_investigation,1
257.047,neutral,1
262.866,positive_investigation,1
292.435,neutral,1
374.91,positive_investigation,1
402.303,neutral,1
403.863,positive_investigation,1
410.02,neutral,1
412.835,positive_investigation,1
417.144,neutral,1
430.934,positive_investigation,1
456.835,neutral,1
522.465,positive_investigation,1
525.251,neutral,1
567.071,positive_investigation,1
571.306,neutral,1
578.529,positive_investigation,1
588.542,neutral,1
609.347,positive_investigation,1
637.27,neutral,1
693.301,END,0
