time,code,class
0,stimulus_introduction,1
2.877,positive_investigation,1
27.258,neutral,1
35.18,positive_investigation,1
37.772,neutral,1
46.423,positive_investigation,1
49.891,neutral,1
51.059,positive_investigation,1
78.718,neutral,1
90.268,positive_investigation,1
101.778,neutral,1
105.914,positive_investigation,1
108.674,neutral,1
115.759,positive_investigation,1
120.387,neutral,1
124.4,positive_investigation,1
130.938,neutral,1
142.614,positive_investigation,1
151.619,neutral,1
158.58,positive_investigation,1
213.308,neutral,1
226.131,positive_investigation,1
227.795,neutral,1
230.448,positive_investigation,1
239.066,neutral,1
247.021,positive_investigation,1
253.124,neutral,1
258.432,positive_investigation,1
260.528,neutral,1
283.849,positive_investigation,1
287.443,neutral,1
294.759,positive_investigation,1
296.926,neutral,1
308.074,positive_investigation,1
318.176,neutral,1
320.974,positive_side_by_side_contact,1
335.003,positive_investigation,1
338.736,neutral,1
408.936,positive_investigation,1
412.496,neutral,1
422.372,positive_investigation,1
427.174,positive_side_by_side_contact,1
430.953,neutral,1
437.794,positive_investigation,1
440.655,positive_side_by_side_contact,1
471.029,positive_investigation,1
489.237,neutral,1
494.268,positive_investigation,1
505.56,neutral,1
520.986,positive_investigation,1
525.881,neutral,1
527.948,positive_investigation,1
532.862,neutral,1
534.76,being_chased,1
536.98,neutral,1
564.153,positive_investigation,1
568.418,positive_side_by_side_contact,1
577.164,neutral,1
579.7,positive_investigation,1
584.25,neutral,1
590.527,positive_side_by_side_contact,1
593.782,neutral,1
599.805,positive_investigation,1
603.724,neutral,1
640.266,positive_investigation,1
643.024,neutral,1
652.114,positive_investigation,1
655.883,neutral,1
662.593,positive_investigation,1
667.723,neutral,1
679.609,positive_investigation,1
682.011,positive_side_by_side_contact,1
690.119,neutral,1
708.531,END,0
