time,code,class
0,stimulus_introduction,1
3.427,positive_side_by_side_contact,1
5.693,positive_investigation,1
70.232,positive_side_by_side_contact,1
78.397,neutral,1
90.685,positive_investigation,1
143.068,allogrooming,1
152.602,neutral,1
158.492,positive_investigation,1
161.395,neutral,1
178.672,positive_investigation,1
189.088,positive_side_by_side_contact,1
197.297,positive_investigation,1
210.079,positive_side_by_side_contact,1
215.716,allogrooming,1
219.052,positive_investigation,1
232.366,positive_side_by_side_contact,1
241.311,positive_investigation,1
241.317,huddling,1
428.728,positive_investigation,1
436.67,huddling,1
543.305,positive_investigation,1
558.452,huddling,1
562.291,positive_investigation,1
570.205,huddling,1
592.993,allogrooming,1
599.902,huddling,1
699.984,END,0
