time,code,class
0,stimulus_introduction,1
2.565,positive_investigation,1
33.351,allogrooming,1
39.753,positive_investigation,1
58.205,neutral,1
60.241,positive_investigation,1
76.124,positive_side_by_side_contact,1
81.756,positive_investigation,1
95.837,positive_side_by_side_contact,1
97.372,allogrooming,1
104.786,positive_side_by_side_contact,1
107.855,positive_investigation,1
150.097,neutral,1
151.132,positive_investigation,1
158.54,allogrooming,1
168.016,positive_investigation,1
184.398,neutral,1
188.236,positive_investigation,1
189.77,allogrooming,1
195.409,neutral,1
196.945,positive_investigation,1
204.38,positive_side_by_side_contact,1
205.917,positive_investigation,1
227.143,neutral,1
230.477,positive_investigation,1
234.347,neutral,1
236.65,positive_investigation,1
238.685,allogrooming,1
240.219,allogrooming,1
252.498,neutral,1
256.337,positive_investigation,1
260.338,allogrooming,1
264.945,positive_investigation,1
268.016,rearing,1
271.586,neutral,1
278.492,positive_investigation,1
292.072,allogrooming,1
296.944,positive_investigation,1
310.257,neutral,1
311.793,positive_investigation,1
323.303,neutral,1
338.152,positive_investigation,1
353.095,biting,1
353.862,chasing,1
355.902,aggressive_investigation,1
370.484,neutral,1
378.426,positive_investigation,1
384.326,neutral,1
388.934,positive_investigation,1
396.082,neutral,1
687.936,END,0
