time,code,class
0,stimulus_introduction,1
9.475,positive_investigation,1
14.348,neutral,1
19.192,positive_investigation,1
24.057,positive_side_by_side_contact,1
27.661,positive_investigation,1
33.533,neutral,1
39.172,positive_investigation,1
51.452,neutral,1
62.463,positive_investigation,1
63.997,neutral,1
73.208,positive_investigation,1
81.148,neutral,1
85.752,positive_investigation,1
95.496,neutral,1
104.972,positive_investigation,1
106.507,neutral,1
109.047,positive_investigation,1
118.284,neutral,1
140.807,positive_investigation,1
162.295,neutral,1
174.605,positive_investigation,1
179.212,neutral,1
182.281,positive_investigation,1
183.549,neutral,1
203.002,positive_investigation,1
205.068,positive_side_by_side_contact,1
209.143,allogrooming,1
215.047,positive_investigation,1
216.582,neutral,1
233.901,positive_investigation,1
238.505,neutral,1
239.539,positive_investigation,1
241.841,neutral,1
269.474,positive_investigation,1
281.015,positive_side_by_side_contact,1
283.554,neutral,1
299.699,positive_investigation,1
302.502,huddling,1
322.923,neutral,1
325.491,positive_investigation,1
337.271,neutral,1
338.538,positive_investigation,1
341.346,neutral,1
347.512,positive_investigation,1
385.891,neutral,1
409.208,positive_investigation,1
411.512,allogrooming,1
416.883,neutral,1
423.523,positive_investigation,1
425.826,neutral,1
477.344,positive_investigation,1
483.982,allogrooming,1
491.156,huddling,1
498.593,positive_side_by_side_contact,1
682.381,END,0
