time,code,class
0,stimulus_introduction,1
3.135,positive_investigation,1
15.04,neutral,1
16.274,positive_investigation,1
19.344,neutral,1
22.056,positive_investigation,1
57.897,allogrooming,1
69.437,neutral,1
72.746,positive_investigation,1
85.553,allogrooming,1
89.39,positive_side_by_side_contact,1
92.222,positive_investigation,1
135.231,neutral,1
137.771,positive_investigation,1
144.681,positive_side_by_side_contact,1
149.55,positive_investigation,1
167.468,allogrooming,1
172.606,neutral,1
174.141,positive_investigation,1
177.712,neutral,1
180.781,positive_investigation,1
189.225,neutral,1
191.53,positive_investigation,1
203.57,neutral,1
205.873,positive_investigation,1
210.745,allogrooming,1
219.688,positive_investigation,1
221.993,neutral,1
229.163,positive_investigation,1
246.947,neutral,1
249.514,positive_investigation,1
251.049,neutral,1
261.029,positive_investigation,1
275.877,positive_side_by_side_contact,1
282.016,neutral,1
288.659,positive_investigation,1
294.057,allogrooming,1
296.598,positive_side_by_side_contact,1
307.108,positive_investigation,1
315.049,neutral,1
319.892,positive_investigation,1
337.065,neutral,1
341.142,positive_investigation,1
342.176,neutral,1
356.757,positive_investigation,1
359.828,neutral,1
363.165,positive_investigation,1
367.529,neutral,1
372.64,biting,1
375.976,positive_investigation,1
381.081,allogrooming,1
383.652,positive_side_by_side_contact,1
392.36,neutral,1
395.429,positive_investigation,1
439.316,neutral,1
440.813,positive_investigation,1
442.932,aggressive_investigation,1
446.7,positive_investigation,1
459.544,neutral,1
462.402,positive_investigation,1
503.301,neutral,1
512.834,positive_investigation,1
515.404,allogrooming,1
519.507,positive_side_by_side_contact,1
524.113,allogrooming,1
527.181,neutral,1
533.321,allogrooming,1
549.704,positive_side_by_side_contact,1
552.511,neutral,1
556.372,positive_investigation,1
572.756,positive_side_by_side_contact,1
577.866,huddling,1
582.47,allogrooming,1
605.259,huddling,1
613.438,allogrooming,1
627.783,huddling,1
643.664,positive_investigation,1
646.734,neutral,1
654.91,positive_investigation,1
662.85,neutral,1
666.954,positive_side_by_side_contact,1
673.095,neutral,1
698.185,positive_investigation,1
704.593,allogrooming,1
706.127,neutral,1
720.976,positive_side_by_side_contact,1
724.813,neutral,1
726.348,positive_investigation,1
736.591,neutral,1
741.46,positive_investigation,1
749.374,neutral,1
754.223,END,0
