time,code,class
771.104,stimulus_introduction,1
776.609,neutral,1
815.673,positive_investigation,1
823.425,positive_side_by_side_contact,1
842.007,positive_investigation,1
849.17,neutral,1
849.17,neutral,1
851.289,positive_investigation,1
851.289,positive_investigation,1
881.298,neutral,1
881.298,neutral,1
884.378,positive_investigation,1
892.352,neutral,1
892.352,neutral,1
902.035,positive_investigation,1
907.062,allogrooming,1
907.062,allogrooming,1
915.046,neutral,1
923.808,positive_investigation,1
933.498,neutral,1
940.298,positive_investigation,1
950.168,positive_side_by_side_contact,1
955.021,neutral,1
959.654,positive_investigation,1
964.156,neutral,1
967.691,positive_investigation,1
968.798,neutral,1
984.26,positive_investigation,1
984.944,neutral,1
996.736,positive_investigation,1
1001.694,neutral,1
1009.218,positive_investigation,1
1018.709,neutral,1
1025.355,positive_investigation,1
1030.997,neutral,1
1034.067,positive_investigation,1
1043.781,rearing,1
1045.078,positive_investigation,1
1047.38,neutral,1
1053.787,positive_investigation,1
1061.461,neutral,1
1062.996,positive_investigation,1
1066.33,neutral,1
1085.253,positive_investigation,1
1088.856,neutral,1
1108.57,positive_investigation,1
1115.983,neutral,1
1129.029,positive_investigation,1
1131.864,positive_side_by_side_contact,1
1135.174,neutral,1
1174.64,positive_investigation,1
1180.513,rearing,1
1182.047,neutral,1
1183.327,positive_investigation,1
1206.399,neutral,1
1210.071,rearing,1
1213.29,positive_investigation,1
1214.4,biting,1
1215.026,pinning,1
1216.074,rearing,1
1222.915,chasing,1
1223.634,neutral,1
1242.083,aggressive_investigation,1
1246.019,neutral,1
1248.006,positive_investigation,1
1252.432,neutral,1
1254.899,positive_investigation,1
1256.306,neutral,1
1280.029,positive_investigation,1
1288.681,rearing,1
1292.787,positive_investigation,1
1296.054,neutral,1
1341.798,positive_investigation,1
1349.475,neutral,1
1356.869,positive_investigation,1
1378.039,positive_side_by_side_contact,1
1379.026,rearing,1
1382.678,aggressive_investigation,1
1384.975,chasing,1
1390.72,aggressive_investigation,1
1394.381,neutral,1
1416.776,positive_investigation,1
1418.814,neutral,1
1436.466,positive_investigation,1
1443.372,positive_side_by_side_contact,1
1445.467,positive_investigation,1
1448.042,neutral,1
1464.618,positive_investigation,1
1473.39,aggressive_investigation,1
1478.489,neutral,1
1482.584,positive_investigation,1
1494.216,aggressive_investigation,1
1498.08,being_chased,1
1501.39,aggressive_investigation,1
1507.889,rearing,1
1508.502,chasing,1
1512.216,aggressive_investigation,1
1533.999,neutral,1
1540.105,END,0
