time,code,class
828.358,stimulus_introduction,1
830.83,positive_investigation,1
845.146,allogrooming,1
846.446,positive_investigation,1
866.927,allogrooming,1
869.735,positive_investigation,1
872.538,rearing,1
874.075,allogrooming,1
876.911,positive_investigation,1
893.828,allogrooming,1
896.896,positive_investigation,1
900.735,positive_side_by_side_contact,1
902.003,positive_investigation,1
909.443,allogrooming,1
911.478,positive_side_by_side_contact,1
912.245,neutral,1
927.994,positive_investigation,1
936.965,positive_side_by_side_contact,1
940.038,positive_investigation,1
948.741,neutral,1
953.353,positive_investigation,1
961.295,allogrooming,1
963.333,positive_investigation,1
966.406,neutral,1
995.334,positive_investigation,1
999.963,allogrooming,1
1002.266,positive_investigation,1
1003.802,neutral,1
1029.963,positive_investigation,1
1038.671,neutral,1
1044.043,positive_investigation,1
1050.184,allogrooming,1
1053.787,neutral,1
1055.321,positive_investigation,1
1058.892,neutral,1
1061.461,positive_investigation,1
1072.71,neutral,1
1117.617,positive_investigation,1
1122.488,positive_side_by_side_contact,1
1130.163,allogrooming,1
1133.234,positive_side_by_side_contact,1
1135.535,allogrooming,1
1144.773,positive_side_by_side_contact,1
1149.115,allogrooming,1
1155.228,neutral,1
1164.197,positive_investigation,1
1170.843,neutral,1
1191.323,positive_investigation,1
1215.915,allogrooming,1
1222.054,positive_side_by_side_contact,1
1224.624,huddling,1
1226.926,positive_side_by_side_contact,1
1228.699,neutral,1
1243.547,positive_investigation,1
1254.82,neutral,1
1282.982,positive_investigation,1
1286.819,neutral,1
1450.383,positive_investigation,1
1458.825,neutral,1
1459.858,positive_investigation,1
1464.731,positive_side_by_side_contact,1
1467.27,neutral,1
1469.835,positive_investigation,1
1471.131,neutral,1
1474.44,positive_investigation,1
1477.275,neutral,1
1478.277,positive_investigation,1
1479.045,neutral,1
1490.586,positive_investigation,1
1508.74,positive_side_by_side_contact,1
1511.311,positive_investigation,1
1513.349,positive_side_by_side_contact,1
1520.282,rearing,1
1526.924,chasing,1
1528.423,rearing,1
1533.455,chasing,1
1534.269,rearing,1
1536.537,chasing,1
1542.142,rearing,1
1542.642,chasing,1
1547.013,rearing,1
1547.78,chasing,1
1554.687,rearing,1
1556.722,chasing,1
1562.629,rearing,1
1564.93,chasing,1
1565.937,rearing,1
1567.234,chasing,1
1569.535,rearing,1
1571.333,chasing,1
1579.247,rearing,1
1582.582,chasing,1
1583.878,aggressive_investigation,1
1588.486,neutral,1
1591.29,aggressive_investigation,1
1596.929,neutral,1
1608.182,positive_investigation,1
1609.208,neutral,1
1610.743,positive_investigation,1
1615.877,rearing,1
1617.413,chasing,1
1619.185,aggressive_investigation,1
1620.721,rearing,1
1621.754,chasing,1
1625.057,chasing,1
1626.332,neutral,1
1630.959,aggressive_investigation,1
1633.263,neutral,1
1673.693,END,0
