time,code,class
0,stimulus_introduction,1
2.068,neutral,1
9.551,positive_investigation,1
26.408,neutral,1
28.26,positive_investigation,1
31.87,allogrooming,1
39.544,positive_side_by_side_contact,1
54.125,neutral,1
60.031,allogrooming,1
64.636,positive_investigation,1
67.704,positive_side_by_side_contact,1
70.775,positive_investigation,1
78.448,neutral,1
96.129,positive_investigation,1
107.911,neutral,1
118.656,positive_investigation,1
124.032,neutral,1
129.934,positive_side_by_side_contact,1
135.809,neutral,1
148.353,positive_side_by_side_contact,1
152.96,neutral,1
170.114,positive_side_by_side_contact,1
178.315,positive_investigation,1
188.053,positive_side_by_side_contact,1
192.661,neutral,1
205.442,positive_investigation,1
214.417,positive_side_by_side_contact,1
223.626,neutral,1
226.432,positive_investigation,1
233.87,neutral,1
258.962,positive_investigation,1
262.8,neutral,1
288.897,positive_investigation,1
297.1,neutral,1
305.281,positive_investigation,1
309.381,positive_side_by_side_contact,1
313.75,neutral,1
329.067,positive_investigation,1
334.971,neutral,1
396.7,positive_investigation,1
407.979,positive_side_by_side_contact,1
410.281,positive_investigation,1
417.689,positive_side_by_side_contact,1
440.744,neutral,1
692.157,END,0
