time,code,class
0,stimulus_introduction,1
3.338,neutral,1
11.348,positive_investigation,1
57.622,neutral,1
59.659,positive_investigation,1
77.845,allogrooming,1
84.247,neutral,1
86.788,positive_investigation,1
111.879,allogrooming,1
114.182,positive_investigation,1
137.237,neutral,1
138.772,positive_investigation,1
180.545,neutral,1
184.788,positive_investigation,1
191.3,neutral,1
225.626,positive_investigation,1
256.089,neutral,1
264.004,positive_investigation,1
270.937,neutral,1
279.386,positive_investigation,1
280.654,neutral,1
287.56,positive_investigation,1
289.094,neutral,1
300.633,positive_investigation,1
303.705,neutral,1
320.857,positive_investigation,1
322.628,neutral,1
344.15,positive_investigation,1
350.022,allogrooming,1
352.089,neutral,1
353.861,positive_investigation,1
355.929,neutral,1
360.004,positive_investigation,1
365.402,neutral,1
367.941,positive_investigation,1
380.753,neutral,1
385.86,positive_investigation,1
399.204,neutral,1
403.809,positive_investigation,1
409.181,being_chased,1
415.587,neutral,1
421.994,being_chased,1
424.297,neutral,1
430.17,positive_investigation,1
435.547,neutral,1
462.938,positive_investigation,1
468.573,neutral,1
477.549,positive_investigation,1
482.921,neutral,1
492.13,positive_investigation,1
496.736,neutral,1
498.27,positive_investigation,1
500.334,being_chased,1
506.478,neutral,1
510.048,positive_investigation,1
516.718,neutral,1
523.361,positive_investigation,1
526.17,neutral,1
531.567,positive_investigation,1
534.874,neutral,1
549.221,positive_investigation,1
552.794,neutral,1
581.486,positive_investigation,1
584.556,neutral,1
590.695,positive_investigation,1
598.873,chasing,1
600.939,being_chased,1
607.343,neutral,1
615.521,positive_investigation,1
619.886,neutral,1
674.97,positive_investigation,1
677.272,neutral,1
729.291,positive_investigation,1
734.93,biting,1
737.493,aggressive_investigation,1
739.029,neutral,1
751.313,aggressive_investigation,1
755.649,neutral,1
761.025,positive_investigation,1
767.696,neutral,1
769.493,positive_investigation,1
781.509,neutral,1
783.311,positive_investigation,1
787.148,neutral,1
797.096,END,0
