time,code,class
0,stimulus_introduction,1
2.037,neutral,1
47.19,positive_investigation,1
84.862,neutral,1
90,positive_investigation,1
91.774,positive_side_by_side_contact,1
94.866,neutral,1
100.479,positive_investigation,1
119.697,neutral,1
130.707,positive_investigation,1
147.858,neutral,1
174.638,positive_investigation,1
178.742,positive_side_by_side_contact,1
193.322,positive_investigation,1
205.102,neutral,1
236.067,positive_investigation,1
243.001,neutral,1
248.377,positive_side_by_side_contact,1
251.181,neutral,1
279.075,positive_side_by_side_contact,1
282.148,positive_investigation,1
291.386,positive_side_by_side_contact,1
297.527,positive_investigation,1
302.899,neutral,1
347.363,positive_side_by_side_contact,1
359.909,huddling,1
371.688,neutral,1
372.956,positive_investigation,1
379.866,positive_side_by_side_contact,1
385.503,positive_investigation,1
394.713,neutral,1
485.168,positive_side_by_side_contact,1
500.784,neutral,1
595.944,positive_investigation,1
615.398,positive_side_by_side_contact,1
620.769,neutral,1
688.164,END,0
