time,code,class
41.414,stimulus_introduction,1
45.012,neutral,1
46.38,positive_investigation,1
53.425,positive_side_by_side_contact,1
54.958,neutral,1
55.963,positive_investigation,1
63.401,neutral,1
68.356,positive_investigation,1
71.158,positive_side_by_side_contact,1
78.599,positive_investigation,1
80.369,positive_side_by_side_contact,1
84.739,neutral,1
98.62,positive_investigation,1
110.9,allogrooming,1
112.701,positive_investigation,1
125.713,neutral,1
126.98,positive_investigation,1
131.587,neutral,1
134.421,positive_side_by_side_contact,1
137.992,positive_investigation,1
153.647,neutral,1
154.675,positive_investigation,1
155.972,positive_side_by_side_contact,1
160.815,neutral,1
175.963,positive_investigation,1
182.636,positive_side_by_side_contact,1
183.903,positive_investigation,1
201.189,neutral,1
202.489,positive_investigation,1
205.796,neutral,1
207.595,positive_investigation,1
212.967,neutral,1
259.947,positive_investigation,1
267.122,positive_side_by_side_contact,1
273.527,neutral,1
303.758,positive_side_by_side_contact,1
313.502,neutral,1
330.083,positive_investigation,1
333.921,positive_side_by_side_contact,1
342.096,neutral,1
345.935,positive_investigation,1
353.875,biting,1
355.939,aggressive_investigation,1
358.746,neutral,1
363.087,positive_investigation,1
366.688,neutral,1
381.535,positive_investigation,1
390.243,neutral,1
391.512,positive_investigation,1
404.225,neutral,1
418.306,positive_investigation,1
420.875,neutral,1
424.206,positive_investigation,1
429.582,neutral,1
835.156,positive_investigation,1
838.755,neutral,1
880.947,END,0
