time,code,class
16.516,stimulus_introduction,1
18.285,neutral,1
96.604,positive_investigation,1
102.767,allogrooming,1
110.176,positive_side_by_side_contact,1
111.452,neutral,1
112.479,positive_investigation,1
145.541,neutral,1
147.077,positive_investigation,1
150.15,neutral,1
170.725,positive_investigation,1
186.339,neutral,1
188.727,positive_investigation,1
200.503,neutral,1
209.448,positive_investigation,1
222.261,positive_side_by_side_contact,1
231.203,huddling,1
234.806,neutral,1
235.811,positive_investigation,1
239.412,neutral,1
241.207,positive_investigation,1
243.248,neutral,1
253.731,positive_investigation,1
271.142,neutral,1
282.153,positive_investigation,1
309.88,neutral,1
312.951,positive_investigation,1
318.323,neutral,1
366.499,positive_investigation,1
385.424,neutral,1
386.723,positive_investigation,1
391.83,neutral,1
394.9,positive_investigation,1
411.551,positive_side_by_side_contact,1
414.882,positive_investigation,1
417.186,allogrooming,1
422.03,neutral,1
425.87,positive_investigation,1
438.413,neutral,1
451.591,positive_investigation,1
482.655,neutral,1
503.138,positive_investigation,1
504.409,neutral,1
513.007,positive_investigation,1
519.385,neutral,1
531.427,positive_investigation,1
542.702,neutral,1
575.64,positive_investigation,1
584.109,allogrooming,1
592.287,neutral,1
596.653,positive_investigation,1
598.427,neutral,1
627.589,positive_investigation,1
632.794,neutral,1
683.907,positive_investigation,1
691.586,allogrooming,1
697.727,positive_investigation,1
698.995,neutral,1
776.722,END,0
