time,code,class
721.934,stimulus_introduction,1
726.269,neutral,1
726.269,neutral,1
748.029,positive_investigation,1
748.029,positive_investigation,1
753.399,positive_side_by_side_contact,1
753.399,positive_side_by_side_contact,1
836.617,neutral,1
836.617,neutral,1
840.953,positive_investigation,1
840.953,positive_investigation,1
855.566,neutral,1
855.566,neutral,1
896.775,positive_side_by_side_contact,1
896.775,positive_side_by_side_contact,1
921.098,neutral,1
921.098,neutral,1
956.429,positive_investigation,1
956.429,positive_investigation,1
993.038,neutral,1
993.038,neutral,1
1053.262,neutral,1
1053.262,neutral,1
1083.463,positive_investigation,1
1083.463,positive_investigation,1
1087.297,neutral,1
1087.297,neutral,1
1119.295,positive_investigation,1
1119.295,positive_investigation,1
1128.775,neutral,1
1157.334,positive_investigation,1
1157.334,positive_investigation,1
1163.234,neutral,1
1163.234,neutral,1
1245.79,positive_investigation,1
1245.79,positive_investigation,1
1246.818,neutral,1
1246.818,neutral,1
1330.208,positive_investigation,1
1330.208,positive_investigation,1
1334.548,being_chased,1
1335.842,neutral,1
1459.414,END,0
