time,code,class
718.562,stimulus_introduction,1
723.169,neutral,1
734.178,positive_side_by_side_contact,1
737.487,positive_investigation,1
741.855,neutral,1
746.193,positive_investigation,1
758.235,neutral,1
783.56,biting,1
790.204,rearing,1
792.769,aggressive_investigation,1
817.864,neutral,1
829.643,aggressive_investigation,1
853.198,neutral,1
895.174,positive_investigation,1
902.079,neutral,1
908.488,positive_investigation,1
928.974,neutral,1
981.696,positive_investigation,1
994.504,neutral,1
1010.625,positive_investigation,1
1048.259,positive_side_by_side_contact,1
1052.602,positive_investigation,1
1060.541,positive_side_by_side_contact,1
1067.71,positive_investigation,1
1090.503,neutral,1
1140.155,positive_investigation,1
1147.324,neutral,1
1227.704,positive_investigation,1
1234.314,positive_side_by_side_contact,1
1240.453,allogrooming,1
1260.238,biting,1
1278.924,neutral,1
1298.912,positive_investigation,1
1309.92,neutral,1
1320.664,positive_investigation,1
1329.634,aggressive_investigation,1
1343.958,neutral,1
1382.096,positive_side_by_side_contact,1
1396.708,neutral,1
1400.276,aggressive_investigation,1
1420.767,neutral,1
1431.508,aggressive_investigation,1
1445.588,neutral,1
1501.477,END,0
