time,code,class
777.956,stimulus_introduction,1
781.524,neutral,1
787.427,positive_investigation,1
794.575,positive_side_by_side_contact,1
801.506,positive_investigation,1
845.522,neutral,1
863.203,positive_investigation,1
919.762,positive_side_by_side_contact,1
920.801,positive_investigation,1
931.811,positive_side_by_side_contact,1
937.18,positive_investigation,1
950.997,allogrooming,1
959.204,positive_investigation,1
982.754,positive_side_by_side_contact,1
985.565,neutral,1
993.744,positive_investigation,1
1004.248,neutral,1
1018.065,positive_investigation,1
1027.808,neutral,1
1037.283,positive_investigation,1
1058.773,neutral,1
1068.244,positive_side_by_side_contact,1
1082.595,positive_investigation,1
1092.835,neutral,1
1103.074,positive_investigation,1
1118.933,positive_side_by_side_contact,1
1130.706,neutral,1
1180.623,positive_side_by_side_contact,1
1214.426,positive_investigation,1
1223.394,positive_side_by_side_contact,1
1241.555,positive_investigation,1
1245.354,neutral,1
1250.723,positive_investigation,1
1275.02,neutral,1
1297.309,positive_investigation,1
1307.79,neutral,1
1385.103,allogrooming,1
1393.87,neutral,1
1454.798,positive_investigation,1
1459.64,positive_side_by_side_contact,1
1464.269,positive_investigation,1
1500.11,neutral,1
1546.663,positive_investigation,1
1548.527,END,0
