time,code,class
832.504,stimulus_introduction,1
837.617,neutral,1
858.871,positive_investigation,1
869.614,positive_side_by_side_contact,1
872.184,positive_investigation,1
883.431,neutral,1
898.809,positive_investigation,1
919.532,positive_side_by_side_contact,1
920.296,positive_investigation,1
951.798,positive_side_by_side_contact,1
957.432,positive_investigation,1
967.148,positive_side_by_side_contact,1
968.946,positive_investigation,1
972.28,allogrooming,1
981.494,positive_investigation,1
1030.644,neutral,1
1038.821,positive_investigation,1
1043.956,neutral,1
1051.63,positive_investigation,1
1065.147,positive_side_by_side_contact,1
1079.227,positive_investigation,1
1113.79,neutral,1
1135.546,positive_investigation,1
1155.002,allogrooming,1
1157.567,positive_investigation,1
1166.278,neutral,1
1182.926,positive_investigation,1
1241.021,neutral,1
1251.002,positive_investigation,1
1253.833,positive_side_by_side_contact,1
1263.806,positive_investigation,1
1276.859,positive_side_by_side_contact,1
1284.557,positive_investigation,1
1293.773,neutral,1
1301.71,positive_investigation,1
1318.596,allogrooming,1
1326.539,positive_investigation,1
1341.88,being_chased,1
1354.405,neutral,1
1364.646,being_chased,1
1378.222,neutral,1
1400.743,being_chased,1
1411.256,neutral,1
1416.629,being_chased,1
1476.813,neutral,1
1487.299,being_chased,1
1494.975,neutral,1
1510.349,being_chased,1
1538.751,neutral,1
1542.854,being_chased,1
1555.401,neutral,1
1611.453,being_chased,1
1624,neutral,1
1646.232,being_chased,1
1649.624,neutral,1
1649.624,END,0
