time,code,class
685.325,stimulus_introduction,1
689.404,neutral,1
694.541,positive_investigation,1
704.516,positive_side_by_side_contact,1
705.015,positive_investigation,1
719.867,positive_side_by_side_contact,1
725.772,positive_investigation,1
740.091,positive_side_by_side_contact,1
750.331,allogrooming,1
760.074,positive_investigation,1
761.608,neutral,1
766.21,positive_side_by_side_contact,1
772.348,neutral,1
773.883,positive_investigation,1
778.493,positive_side_by_side_contact,1
790.537,positive_investigation,1
827.904,positive_side_by_side_contact,1
828.411,positive_investigation,1
858.368,positive_side_by_side_contact,1
860.67,positive_investigation,1
862.714,positive_side_by_side_contact,1
868.878,positive_investigation,1
887.566,positive_side_by_side_contact,1
888.832,positive_investigation,1
899.845,neutral,1
905.722,positive_investigation,1
910.857,positive_side_by_side_contact,1
914.428,positive_investigation,1
920.063,positive_side_by_side_contact,1
920.83,positive_investigation,1
932.343,neutral,1
942.089,positive_investigation,1
944.892,neutral,1
947.195,positive_investigation,1
947.96,neutral,1
969.741,positive_investigation,1
971.277,neutral,1
984.328,positive_investigation,1
992.771,neutral,1
994.306,positive_investigation,1
995.579,neutral,1
997.114,positive_side_by_side_contact,1
998.379,neutral,1
1003.513,positive_side_by_side_contact,1
1013.227,allogrooming,1
1020.134,positive_side_by_side_contact,1
1022.2,positive_investigation,1
1034.745,neutral,1
1040.357,positive_investigation,1
1078.521,positive_side_by_side_contact,1
1080.825,positive_investigation,1
1083.896,positive_side_by_side_contact,1
1085.431,positive_investigation,1
1096.173,positive_side_by_side_contact,1
1108.456,positive_investigation,1
1115.127,neutral,1
1119.992,positive_side_by_side_contact,1
1129.706,neutral,1
1141.753,positive_investigation,1
1143.791,neutral,1
1150.196,positive_investigation,1
1157.1,positive_side_by_side_contact,1
1159.402,positive_investigation,1
1160.911,positive_side_by_side_contact,1
1164.511,biting,1
1170.985,aggressive_investigation,1
1188.902,neutral,1
1197.577,positive_side_by_side_contact,1
1421.987,END,0
