time,code,class
846.761,stimulus_introduction,1
849.83,neutral,1
866.21,positive_investigation,1
876.216,positive_side_by_side_contact,1
879.527,neutral,1
893.368,positive_side_by_side_contact,1
900.279,positive_investigation,1
915.125,neutral,1
922.803,positive_side_by_side_contact,1
924.839,positive_investigation,1
932.279,positive_side_by_side_contact,1
940.217,positive_investigation,1
965.279,positive_side_by_side_contact,1
979.619,neutral,1
984.227,positive_investigation,1
1023.901,neutral,1
1031.844,positive_side_by_side_contact,1
1034.384,positive_investigation,1
1043.09,positive_side_by_side_contact,1
1048.227,positive_investigation,1
1062.307,neutral,1
1064.847,positive_investigation,1
1093.776,allogrooming,1
1099.17,neutral,1
1100.948,positive_investigation,1
1122.233,neutral,1
1133.481,positive_investigation,1
1173.416,neutral,1
1185.195,positive_investigation,1
1188.264,positive_side_by_side_contact,1
1196.71,positive_investigation,1
1218.469,positive_side_by_side_contact,1
1220.792,positive_investigation,1
1224.37,positive_side_by_side_contact,1
1226.671,positive_investigation,1
1256.867,neutral,1
1262.775,positive_side_by_side_contact,1
1289.131,neutral,1
1348.025,positive_investigation,1
1353.129,allogrooming,1
1360.04,positive_investigation,1
1363.642,neutral,1
1381.797,positive_investigation,1
1387.434,neutral,1
1414.325,positive_investigation,1
1445.558,positive_investigation,1
1480.626,positive_side_by_side_contact,1
1481.393,positive_investigation,1
1483.694,neutral,1
1543,END,0
