time,code,class
673.848,stimulus_introduction,1
678.457,neutral,1
682.026,positive_investigation,1
733.24,positive_side_by_side_contact,1
736.816,neutral,1
739.883,positive_investigation,1
742.952,positive_side_by_side_contact,1
748.595,positive_investigation,1
761.4,positive_side_by_side_contact,1
763.705,positive_investigation,1
796.711,positive_side_by_side_contact,1
798.776,positive_investigation,1
835.116,positive_side_by_side_contact,1
839.72,positive_investigation,1
857.903,neutral,1
869.684,positive_investigation,1
875.557,positive_side_by_side_contact,1
877.093,positive_investigation,1
878.391,neutral,1
881.195,positive_investigation,1
898.611,positive_side_by_side_contact,1
906.021,positive_investigation,1
909.093,positive_side_by_side_contact,1
910.887,positive_investigation,1
943.153,neutral,1
966.443,positive_investigation,1
985.895,neutral,1
996.408,positive_investigation,1
1003.576,positive_side_by_side_contact,1
1010.988,positive_investigation,1
1016.63,neutral,1
1050.965,positive_investigation,1
1054.5,positive_side_by_side_contact,1
1058.338,positive_investigation,1
1073.378,positive_side_by_side_contact,1
1073.683,positive_side_by_side_contact,1
1079.761,biting,1
1082.325,aggressive_investigation,1
1096.406,neutral,1
1104.085,aggressive_investigation,1
1106.486,biting,1
1109.048,rearing,1
1112.228,aggressive_investigation,1
1117.028,biting,1
1122.4,chasing,1
1132.308,aggressive_investigation,1
1160.802,neutral,1
1170.385,positive_investigation,1
1198.546,neutral,1
1217.397,positive_investigation,1
1234.02,neutral,1
1292.601,positive_investigation,1
1298.678,neutral,1
1330.041,positive_investigation,1
1346.993,neutral,1
1354.032,positive_investigation,1
1362.673,neutral,1
1369.081,positive_investigation,1
1379.32,neutral,1
1382.826,positive_investigation,1
1398.415,neutral,1
1407.402,END,0
1407.402,END,0
