time,code,class
729.979,stimulus_introduction,1
735.115,positive_investigation,1
763.173,positive_side_by_side_contact,1
774.422,neutral,1
783.63,positive_investigation,1
831.415,neutral,1
835.985,positive_investigation,1
848.759,positive_side_by_side_contact,1
858.938,positive_investigation,1
869.116,positive_side_by_side_contact,1
877.262,positive_investigation,1
890.538,positive_side_by_side_contact,1
907.385,positive_investigation,1
1009.454,neutral,1
1018.165,positive_investigation,1
1032.953,neutral,1
1046.755,positive_investigation,1
1073.753,neutral,1
1100.311,positive_investigation,1
1107.96,positive_side_by_side_contact,1
1116.601,positive_investigation,1
1132.88,neutral,1
1140.025,positive_investigation,1
1152.271,neutral,1
1171.683,positive_investigation,1
1195.11,neutral,1
1210.425,positive_investigation,1
1234.877,neutral,1
1254.765,positive_investigation,1
1286.905,positive_side_by_side_contact,1
1315,positive_investigation,1
1319.097,neutral,1
1485.988,END,0
