time,code,class
717.326,stimulus_introduction,1
718.094,neutral,1
721.403,positive_investigation,1
729.61,positive_side_by_side_contact,1
733.943,positive_investigation,1
749.06,positive_side_by_side_contact,1
752.634,positive_investigation,1
763.406,positive_side_by_side_contact,1
765.443,positive_investigation,1
793.607,positive_side_by_side_contact,1
800.25,positive_investigation,1
809.486,positive_side_by_side_contact,1
832.779,positive_investigation,1
853.501,positive_side_by_side_contact,1
855.799,positive_investigation,1
859.64,positive_side_by_side_contact,1
865.279,positive_investigation,1
899.342,neutral,1
905.722,positive_investigation,1
930.044,positive_side_by_side_contact,1
936.186,positive_investigation,1
943.118,positive_side_by_side_contact,1
951.821,positive_investigation,1
958.734,positive_side_by_side_contact,1
964.11,positive_investigation,1
970.509,neutral,1
982.266,positive_investigation,1
993.274,positive_side_by_side_contact,1
1014.027,positive_investigation,1
1033.48,neutral,1
1043.981,positive_investigation,1
1072.122,being_chased,1
1076.322,being_chased,1
1109.089,neutral,1
1110.623,aggressive_investigation,1
1123.937,neutral,1
1144.658,aggressive_investigation,1
1153.633,positive_investigation,1
1157.471,neutral,1
1164.88,positive_investigation,1
1171.285,neutral,1
1462.906,END,0
