time,code,class
638.285,stimulus_introduction,1
639.29,neutral,1
653.369,positive_investigation,1
672.845,positive_side_by_side_contact,1
684.602,positive_investigation,1
702.717,neutral,1
709.389,positive_investigation,1
719.1,neutral,1
726.777,positive_investigation,1
728.075,neutral,1
744.192,positive_investigation,1
790.738,neutral,1
799.183,positive_investigation,1
822.234,neutral,1
834.275,positive_investigation,1
858.338,neutral,1
867.281,positive_investigation,1
874.717,neutral,1
882.897,positive_investigation,1
911.324,neutral,1
955.003,positive_investigation,1
981.625,positive_side_by_side_contact,1
983.931,positive_investigation,1
987.002,neutral,1
1019.496,positive_investigation,1
1030.009,neutral,1
1414.806,END,0
