time,code,class
698.646,stimulus_introduction,1
703.251,positive_investigation,1
718.627,positive_side_by_side_contact,1
727.312,positive_investigation,1
745.25,neutral,1
762.91,positive_investigation,1
808.989,neutral,1
811.025,positive_investigation,1
816.93,positive_side_by_side_contact,1
824.338,positive_investigation,1
862.241,neutral,1
869.916,positive_investigation,1
881.695,positive_side_by_side_contact,1
902.18,positive_investigation,1
910.355,neutral,1
924.468,positive_investigation,1
933.677,positive_side_by_side_contact,1
942.389,positive_investigation,1
995.341,neutral,1
1112.59,positive_investigation,1
1129.742,positive_side_by_side_contact,1
1141.755,positive_investigation,1
1180.925,neutral,1
1210.056,positive_investigation,1
1242.82,neutral,1
1254.597,positive_side_by_side_contact,1
1438.875,END,0
