time,code,class
49.656,stimulus_introduction,1
51.432,neutral,1
51.432,neutral,1
58.341,positive_investigation,1
58.341,positive_investigation,1
63.477,positive_side_by_side_contact,1
63.477,positive_side_by_side_contact,1
66.547,positive_investigation,1
66.547,positive_investigation,1
69.615,rearing,1
72.185,positive_side_by_side_contact,1
72.185,positive_side_by_side_contact,1
73.72,positive_investigation,1
73.72,positive_investigation,1
89.838,positive_side_by_side_contact,1
89.838,positive_side_by_side_contact,1
98.809,positive_investigation,1
98.809,positive_investigation,1
137.207,positive_side_by_side_contact,1
137.207,positive_side_by_side_contact,1
138.725,positive_investigation,1
138.725,positive_investigation,1
145.127,positive_side_by_side_contact,1
145.127,positive_side_by_side_contact,1
148.459,positive_investigation,1
148.459,positive_investigation,1
153.334,rearing,1
154.36,positive_side_by_side_contact,1
154.36,positive_side_by_side_contact,1
158.201,positive_investigation,1
158.201,positive_investigation,1
161.773,neutral,1
161.773,neutral,1
176.697,positive_investigation,1
176.697,positive_investigation,1
189.241,positive_side_by_side_contact,1
189.241,positive_side_by_side_contact,1
192.84,positive_investigation,1
192.84,positive_investigation,1
200.267,biting,1
203.513,aggressive_investigation,1
203.513,aggressive_investigation,1
225.978,rearing,1
227.905,neutral,1
227.905,neutral,1
233.85,aggressive_investigation,1
233.85,aggressive_investigation,1
238.082,neutral,1
238.082,neutral,1
376.424,positive_investigation,1
376.424,positive_investigation,1
383.76,neutral,1
383.76,neutral,1
397.779,positive_investigation,1
397.779,positive_investigation,1
407.122,neutral,1
407.122,neutral,1
419.134,positive_investigation,1
419.134,positive_investigation,1
433.487,neutral,1
433.487,neutral,1
456.171,positive_investigation,1
456.171,positive_investigation,1
460.842,neutral,1
460.842,neutral,1
463.183,positive_investigation,1
463.183,positive_investigation,1
470.185,neutral,1
470.185,neutral,1
490.212,positive_investigation,1
490.212,positive_investigation,1
492.54,neutral,1
492.54,neutral,1
496.888,positive_investigation,1
496.888,positive_investigation,1
505.891,neutral,1
505.891,neutral,1
524.906,positive_investigation,1
524.906,positive_investigation,1
531.918,neutral,1
531.918,neutral,1
555.603,positive_investigation,1
555.603,positive_investigation,1
608.995,neutral,1
608.995,neutral,1
650.404,positive_investigation,1
650.404,positive_investigation,1
658.104,neutral,1
658.104,neutral,1
719.529,positive_investigation,1
719.529,positive_investigation,1
725.304,positive_side_by_side_contact,1
725.304,positive_side_by_side_contact,1
731.046,positive_investigation,1
726.372,positive_side_by_side_contact,1
726.372,positive_side_by_side_contact,1
732.881,positive_investigation,1
732.881,positive_investigation,1
735.748,being_chased,1
770.685,aggressive_investigation,1
770.685,aggressive_investigation,1
784.127,neutral,1
784.127,neutral,1
791.803,aggressive_investigation,1
791.803,aggressive_investigation,1
796.411,neutral,1
796.411,neutral,1
822.968,positive_investigation,1
822.968,positive_investigation,1
826.343,neutral,1
826.343,neutral,1
807.63,END,0
